summons_number,issue_date,violation_code,violation_category,issuer_code,time_format,time_number,house_number,street_name,geo_address
7217545985,9/2/13,20,2,356261,16:00,0.666666667,231,E 106th St,"231 E 106th St, New York, NY"
7217545900,9/2/13,40,2,356261,15:18,0.6375,1371,1st Ave,"1371 1st Ave, New York, NY"
7217545870,9/2/13,19,2,356261,13:46,0.573611111,241,E 86th St,"241 E 86th St, New York, NY"
7217545869,9/2/13,10,2,356261,13:12,0.55,1330,1st Ave,"1330 1st Ave, New York, NY"
7217545857,9/2/13,84,5,356261,13:02,0.543055556,1188,1st Ave,"1188 1st Ave, New York, NY"
7217545845,9/2/13,19,2,356261,13:01,0.542361111,1188,1st Ave,"1188 1st Ave, New York, NY"
7217545778,9/2/13,70,5,356261,11:26,0.476388889,310,E 74th St,"310 E 74th St, New York, NY"
7217545766,9/2/13,40,2,356261,11:12,0.466666667,321,E 75th St,"321 E 75th St, New York, NY"
7217545754,9/2/13,14,2,356261,10:56,0.455555556,36,E 75th St,"36 E 75th St, New York, NY"
7217545742,9/2/13,82,5,356261,10:10,0.423611111,1473,1st Ave,"1473 1st Ave, New York, NY"
7217545973,9/2/13,10,2,356261,15:52,0.661111111,1715,1st Ave,"1715 1st Ave, New York, NY"
7217545961,9/2/13,10,2,356261,15:47,0.657638889,1665,1st Ave,"1665 1st Ave, New York, NY"
7217545950,9/2/13,40,2,356261,15:45,0.65625,1619,1st Ave,"1619 1st Ave, New York, NY"
7217545948,9/2/13,40,2,356261,15:33,0.647916667,418,E 83rd St,"418 E 83rd St, New York, NY"
7217545936,9/2/13,40,2,356261,15:32,0.647222222,420,E 83rd St,"420 E 83rd St, New York, NY"
7217545912,9/2/13,40,2,356261,15:21,0.639583333,1456,1st Ave,"1456 1st Ave, New York, NY"
7217545882,9/2/13,13,2,356261,13:50,0.576388889,155,E 86th St,"155 E 86th St, New York, NY"
7217545833,9/2/13,17,2,356261,12:43,0.529861111,307,E 87th St,"307 E 87th St, New York, NY"
7217545821,9/2/13,46,3,356261,12:23,0.515972222,150,E 112th St,"150 E 112th St, New York, NY"
7217545780,9/2/13,13,2,356261,11:45,0.489583333,130,E 86th St,"130 E 86th St, New York, NY"
7849120528,9/3/13,38,5,358570,18:18,0.7625,340,W 57th St,"340 W 57th St, New York, NY"
7849120383,9/3/13,42,4,358570,16:36,0.691666667,1755,Broadway,"1755 Broadway, New York, NY"
7849120231,9/3/13,53,3,358570,12:59,0.540972222,530,9th Ave,"530 9th Ave, New York, NY"
7849120220,9/3/13,31,2,358570,12:55,0.538194444,523,9th Ave,"523 9th Ave, New York, NY"
7217546321,9/3/13,10,2,356261,9:25,0.392361111,1663,1st Ave,"1663 1st Ave, New York, NY"
7217546291,9/3/13,21,1,356261,9:10,0.381944444,238,E 84th St,"238 E 84th St, New York, NY"
7217546230,9/3/13,21,1,356261,8:11,0.340972222,1553,York Ave,"1553 York Ave, New York, NY"
7217546217,9/3/13,21,1,356261,8:06,0.3375,1661,York Ave,"1661 York Ave, New York, NY"
7217546151,9/3/13,21,1,356261,7:36,0.316666667,1420,York Ave,"1420 York Ave, New York, NY"
7217546140,9/3/13,19,2,356261,7:28,0.311111111,1400,York Ave,"1400 York Ave, New York, NY"
7217546035,9/3/13,40,2,356261,6:38,0.276388889,1487,1st Ave,"1487 1st Ave, New York, NY"
7217546023,9/3/13,40,2,356261,6:00,0.25,1452,1st Ave,"1452 1st Ave, New York, NY"
7217546000,9/3/13,10,2,356261,5:47,0.240972222,1471,1st Ave,"1471 1st Ave, New York, NY"
7217545997,9/3/13,14,2,356261,5:43,0.238194444,1304,1st Ave,"1304 1st Ave, New York, NY"
7849120516,9/3/13,37,4,358570,18:13,0.759027778,309,W 57th St,"309 W 57th St, New York, NY"
7849120504,9/3/13,31,2,358570,18:09,0.75625,956,9th Ave,"956 9th Ave, New York, NY"
7849120498,9/3/13,14,2,358570,17:39,0.735416667,15,W 47th St,"15 W 47th St, New York, NY"
