summons_number,issue_date,violation_code,violation_category,issuer_code,violation_time,Column2,AP,Column1,time_format,first_hour,house_number,street_name,address,city,state,zip
7937991471,8/4/13,16,2,353164,221,221,P,1421,14:21,14,91,Clinton St,91 Clinton St,New York,NY,10014
7937991495,8/4/13,20,2,353164,231,231,P,1431,14:31,14,141,Ludlow St,141 Ludlow St,New York,NY,10014
7937991501,8/4/13,20,2,353164,255,255,P,1455,14:55,14,174,Forsyth St,174 Forsyth St,New York,NY,10014
7937991525,8/4/13,10,2,353164,301,301,P,1501,15:01,15,183,Chrystie St,183 Chrystie St,New York,NY,10014
7937991537,8/4/13,14,2,353164,402,402,P,1602,16:02,16,180,Bowery,180 Bowery,New York,NY,10014
7937991288,8/4/13,14,2,353164,1108,1108,A,1108,11:08,11,296,Bowery,296 Bowery,New York,NY,10014
7937991306,8/4/13,71,5,353164,1200,0,P,1200,12:00,12,7,Great Jones St,7 Great Jones St,New York,NY,10014
7937991320,8/4/13,40,2,353164,1221,21,P,1221,12:21,12,299,Bowery,299 Bowery,New York,NY,10014
7937991355,8/4/13,71,5,353164,1237,37,P,1237,12:37,12,11,Stanton St,11 Stanton St,New York,NY,10014
7937991367,8/4/13,40,2,353164,1242,42,P,1242,12:42,12,213,Bowery,213 Bowery,New York,NY,10014
7937991410,8/4/13,20,2,353164,157,157,P,1357,13:57,13,149,Essex St,149 Essex St,New York,NY,10014
7937991434,8/4/13,70,5,353164,209,209,P,1409,14:09,14,109,Norfolk St,109 Norfolk St,New York,NY,10014
7937991446,8/4/13,20,2,353164,210,210,P,1410,14:10,14,109,Norfolk St,109 Norfolk St,New York,NY,10014
7937991483,8/4/13,16,2,353164,223,223,P,1423,14:23,14,50,Clinton St,50 Clinton St,New York,NY,10014
7937991513,8/4/13,20,2,353164,257,257,P,1457,14:57,14,174,Forsyth St,174 Forsyth St,New York,NY,10014
7932310120,8/5/13,48,3,353164,121,121,P,1321,13:21,13,167,Chrystie St,167 Chrystie St,New York,NY,10014
7932310088,8/5/13,14,2,353164,1249,49,P,1249,12:49,12,181,E Houston St,181 E Houston St,New York,NY,10014
7932310090,8/5/13,38,5,353164,1258,58,P,1258,12:58,12,169,Allen St,169 Allen St,New York,NY,10014
7932310106,8/5/13,38,5,353164,101,101,P,1301,13:01,13,163,Allen St,163 Allen St,New York,NY,10014
7932310155,8/5/13,20,2,353164,141,141,P,1341,13:41,13,190,Elizabeth St,190 Elizabeth St,New York,NY,10014
7932310179,8/5/13,20,2,353164,157,157,P,1357,13:57,13,278,Mott St,278 Mott St,New York,NY,10014
7932310192,8/5/13,40,2,353164,207,207,P,1407,14:07,14,219,Mott St,219 Mott St,New York,NY,10014
7932310210,8/5/13,20,2,353164,214,214,P,1414,14:14,14,6,Spring St,6 Spring St,New York,NY,10014
7932310222,8/5/13,20,2,353164,242,242,P,1442,14:42,14,262,Mott St,262 Mott St,New York,NY,10014
7932310258,8/5/13,20,2,353164,302,302,P,1502,15:02,15,222,Lafayette St,222 Lafayette St,New York,NY,10014
7932310271,8/5/13,14,2,353164,409,409,P,1609,16:09,16,222,Bowery,222 Bowery,New York,NY,10014
7932310283,8/5/13,20,2,353164,448,448,P,1648,16:48,16,226,Lafayette St,226 Lafayette St,New York,NY,10014
7932310295,8/5/13,69,5,353164,453,453,P,1653,16:53,16,518,Broadway,518 Broadway,New York,NY,10014
7932310301,8/5/13,20,2,353164,531,531,P,1731,17:31,17,132,Crosby St,132 Crosby St,New York,NY,10014
7932310325,8/5/13,20,2,353164,549,549,P,1749,17:49,17,10,Prince St,10 Prince St,New York,NY,10014
7932310349,8/5/13,38,5,353164,555,555,P,1755,17:55,17,195,Bowery,195 Bowery,New York,NY,10014
7932310076,8/5/13,20,2,353164,1241,41,P,1241,12:41,12,152,Ludlow St,152 Ludlow St,New York,NY,10014
7932310118,8/5/13,40,2,353164,112,112,P,1312,13:12,13,190,Forsyth St,190 Forsyth St,New York,NY,10014
7932310143,8/5/13,20,2,353164,133,133,P,1333,13:33,13,6,Spring St,6 Spring St,New York,NY,10014
7932310180,8/5/13,20,2,353164,202,202,P,1402,14:02,14,252,Mott St,252 Mott St,New York,NY,10014
7932310234,8/5/13,20,2,353164,244,244,P,1444,14:44,14,284,Mott St,284 Mott St,New York,NY,10014
7932310246,8/5/13,20,2,353164,249,249,P,1449,14:49,14,112,Crosby St,112 Crosby St,New York,NY,10014
7932310260,8/5/13,20,2,353164,402,402,P,1602,16:02,16,39,Spring St,39 Spring St,New York,NY,10014
7932310313,8/5/13,20,2,353164,547,547,P,1747,17:47,17,12,Prince St,12 Prince St,New York,NY,10014
7932310416,8/6/13,69,5,353164,139,139,P,1339,13:39,13,676,Broadway,676 Broadway,New York,NY,10014
7932310441,8/6/13,37,4,353164,215,215,P,1415,14:15,14,1,University Pl,1 University Pl,New York,NY,10014
7932310465,8/6/13,20,2,353164,227,227,P,1427,14:27,14,274,Mercer St,274 Mercer St,New York,NY,10014
7932310489,8/6/13,20,2,353164,306,306,P,1506,15:06,15,3,University Pl,3 University Pl,New York,NY,10014
7932310507,8/6/13,38,5,353164,323,323,P,1523,15:23,15,14,Washington Pl,14 Washington Pl,New York,NY,10014
7932310568,8/6/13,20,2,353164,512,512,P,1712,17:12,17,508,Laguardia Pl,508 Laguardia Pl,New York,NY,10014
7932310600,8/6/13,38,5,353164,534,534,P,1734,17:34,17,548,Laguardia Pl,548 Laguardia Pl,New York,NY,10014
7932310374,8/6/13,16,2,353164,1238,38,P,1238,12:38,12,188,Ludlow St,188 Ludlow St,New York,NY,10014
7932310398,8/6/13,14,2,353164,112,112,P,1312,13:12,13,298,Bowery,298 Bowery,New York,NY,10014
7932310404,8/6/13,14,2,353164,119,119,P,1319,13:19,13,302,Elizabeth St,302 Elizabeth St,New York,NY,10014
7932310428,8/6/13,84,5,353164,201,201,P,1401,14:01,14,13-19,University Pl,13-19 University Pl,New York,NY,10014
7932310430,8/6/13,37,4,353164,210,210,P,1410,14:10,14,49,E 8th St,49 E 8th St,New York,NY,10014
7932310453,8/6/13,37,4,353164,219,219,P,1419,14:19,14,32,Waverly Pl,32 Waverly Pl,New York,NY,10014
7932310490,8/6/13,37,4,353164,309,309,P,1509,15:09,15,14,University Pl,14 University Pl,New York,NY,10014
7932310519,8/6/13,37,4,353164,327,327,P,1527,15:27,15,14,Washington Pl,14 Washington Pl,New York,NY,10014
7932310544,8/6/13,71,5,353164,441,441,P,1641,16:41,16,496,Laguardia Pl,496 Laguardia Pl,New York,NY,10014
7932310570,8/6/13,20,2,353164,517,517,P,1717,17:17,17,475-477,W Broadway,475-477 W Broadway,New York,NY,10014
7932310581,8/6/13,38,5,353164,527,527,P,1727,17:27,17,510,Laguardia Pl,510 Laguardia Pl,New York,NY,10014
7932310593,8/6/13,71,5,353164,531,531,P,1731,17:31,17,520,Laguardia Pl,520 Laguardia Pl,New York,NY,10014
7937991628,8/12/13,20,2,353164,158,158,P,1358,13:58,13,174,Orchard St,174 Orchard St,New York,NY,10014
7937991630,8/12/13,20,2,353164,213,213,P,1413,14:13,14,156,Ludlow St,156 Ludlow St,New York,NY,10014
7937991653,8/12/13,37,4,353164,227,227,P,1427,14:27,14,188,Allen St,188 Allen St,New York,NY,10014
7937991720,8/12/13,20,2,353164,419,419,P,1619,16:19,16,134,Orchard St,134 Orchard St,New York,NY,10014
7937991732,8/12/13,16,2,353164,426,426,P,1626,16:26,16,108-110,Norfolk St,108-110 Norfolk St,New York,NY,10014
7937991756,8/12/13,38,5,353164,450,450,P,1650,16:50,16,142,Ludlow St,142 Ludlow St,New York,NY,10014
7937991793,8/12/13,71,5,353164,530,530,P,1730,17:30,17,161,Orchard St,161 Orchard St,New York,NY,10014
7937991800,8/12/13,38,5,353164,537,537,P,1737,17:37,17,130,Orchard St,130 Orchard St,New York,NY,10014
7937991574,8/12/13,71,5,353164,1232,32,P,1232,12:32,12,98,Suffolk St,98 Suffolk St,New York,NY,10014
7937991586,8/12/13,71,5,353164,1245,45,P,1245,12:45,12,195,Stanton St,195 Stanton St,New York,NY,10014
7937991598,8/12/13,38,5,353164,106,106,P,1306,13:06,13,149,Ludlow St,149 Ludlow St,New York,NY,10014
7937991641,8/12/13,37,4,353164,221,221,P,1421,14:21,14,188,Allen St,188 Allen St,New York,NY,10014
7937991665,8/12/13,71,5,353164,238,238,P,1438,14:38,14,203,E Houston St,203 E Houston St,New York,NY,10014
7937991677,8/12/13,20,2,353164,239,239,P,1439,14:39,14,203,E Houston St,203 E Houston St,New York,NY,10014
7937991689,8/12/13,20,2,353164,242,242,P,1442,14:42,14,193-195,E Houston St,193-195 E Houston St,New York,NY,10014
7937991690,8/12/13,38,5,353164,247,247,P,1447,14:47,14,111,Stanton St,111 Stanton St,New York,NY,10014
7937991707,8/12/13,38,5,353164,324,324,P,1524,15:24,15,164,Ludlow St,164 Ludlow St,New York,NY,10014
7937991719,8/12/13,20,2,353164,411,411,P,1611,16:11,16,182,Eldridge St,182 Eldridge St,New York,NY,10014
7937991744,8/12/13,37,4,353164,434,434,P,1634,16:34,16,131,Essex St,131 Essex St,New York,NY,10014
7937991768,8/12/13,16,2,353164,456,456,P,1656,16:56,16,188,Ludlow St,188 Ludlow St,New York,NY,10014
7937991770,8/12/13,38,5,353164,505,505,P,1705,17:05,17,188,Ludlow St,188 Ludlow St,New York,NY,10014
7937991781,8/12/13,14,2,353164,522,522,P,1722,17:22,17,203,Allen St,203 Allen St,New York,NY,10014
7937991859,8/13/13,19,2,353164,110,110,P,1310,13:10,13,205,Allen St,205 Allen St,New York,NY,10014
7937991860,8/13/13,20,2,353164,122,122,P,1322,13:22,13,53,Stanton St,53 Stanton St,New York,NY,10014
7937991872,8/13/13,20,2,353164,135,135,P,1335,13:35,13,193,Chrystie St,193 Chrystie St,New York,NY,10014
7937991884,8/13/13,20,2,353164,207,207,P,1407,14:07,14,195,Chrystie St,195 Chrystie St,New York,NY,10014
7937991896,8/13/13,20,2,353164,211,211,P,1411,14:11,14,201,Chrystie St,201 Chrystie St,New York,NY,10014
7937991926,8/13/13,40,2,353164,427,427,P,1627,16:27,16,190,Forsyth St,190 Forsyth St,New York,NY,10014
7937991940,8/13/13,20,2,353164,518,518,P,1718,17:18,17,201,Chrystie St,201 Chrystie St,New York,NY,10014
7937991902,8/13/13,20,2,353164,216,216,P,1416,14:16,14,53,Stanton St,53 Stanton St,New York,NY,10014
7937991914,8/13/13,38,5,353164,329,329,P,1529,15:29,15,169,Allen St,169 Allen St,New York,NY,10014
7937991938,8/13/13,10,2,353164,436,436,P,1636,16:36,16,183,Chrystie St,183 Chrystie St,New York,NY,10014
7937991951,8/13/13,16,2,353164,541,541,P,1741,17:41,17,263,Mulberry St,263 Mulberry St,New York,NY,10014
7937992037,8/15/13,75,5,353164,218,218,P,1418,14:18,14,228,Elizabeth St,228 Elizabeth St,New York,NY,10014
7937992049,8/15/13,20,2,353164,238,238,P,1438,14:38,14,36,Bleecker St,36 Bleecker St,New York,NY,10014
7937992062,8/15/13,20,2,353164,255,255,P,1455,14:55,14,8,Prince St,8 Prince St,New York,NY,10014
7937992074,8/15/13,20,2,353164,258,258,P,1458,14:58,14,198,Elizabeth St,198 Elizabeth St,New York,NY,10014
7937992086,8/15/13,20,2,353164,300,300,P,1500,15:00,15,192,Elizabeth St,192 Elizabeth St,New York,NY,10014
7937992104,8/15/13,20,2,353164,349,349,P,1549,15:49,15,52,Prince St,52 Prince St,New York,NY,10014
7937992116,8/15/13,20,2,353164,411,411,P,1611,16:11,16,6,Rivington St,6 Rivington St,New York,NY,10014
