Issuer_id,1_1_,1_2_,1_3_,1_4_,1_5_,1_6_,2_1_,2_2_,2_3_,2_4_,2_5_,2_6_,3_1_,3_2_,3_3_,3_4_,3_5_,3_6_,4_1_,4_2_,4_3_,4_4_,4_5_,4_6_,5_1_,5_2_,5_3_,5_4_,5_5_,5_6_,6_1_,6_2_,6_3_,6_4_,6_5_,6_6_,7_1_,7_2_,7_3_,7_4_,7_5_,7_6_
356498,25,165,34,21,113,0,72,205,38,29,149,0,0,229,18,22,133,0,21,119,38,23,139,0,36,133,25,19,110,0,5,116,31,18,121,0,0,0,0,0,0,0
358840,1,84,3,124,141,0,11,62,5,187,176,0,0,77,3,162,127,0,0,48,2,185,185,0,0,94,5,140,155,0,0,7,0,25,56,0,0,0,0,0,0,0
926560,0,4,2,0,0,0,2,94,35,2,3,0,0,68,49,0,3,1,0,57,26,0,0,0,2,89,47,0,1,0,0,8,1,1,0,0,0,1,1,0,0,0
355603,42,203,34,52,211,0,28,187,35,43,177,0,0,149,13,66,155,0,25,273,36,43,218,0,15,222,31,34,176,0,5,158,20,12,244,0,0,0,0,0,0,0
916949,0,49,0,1,9,0,0,107,0,1,24,0,0,114,19,0,39,0,2,63,0,0,13,0,0,98,1,1,30,0,0,2,0,0,0,0,0,0,0,0,0,0
926024,36,55,176,0,2,0,26,38,201,0,5,0,13,42,179,2,3,0,6,53,197,0,2,0,17,73,258,1,0,0,1,5,14,0,0,0,1,6,10,0,0,0
356310,2,101,55,19,120,0,2,161,69,26,154,1,2,138,79,25,142,0,0,179,71,46,170,0,0,180,92,39,154,0,0,3,2,2,1,0,0,6,0,0,0,0
355604,236,173,7,15,45,0,139,290,6,3,37,0,0,377,6,10,35,0,99,239,8,40,69,0,273,171,24,19,80,2,0,0,0,0,0,0,0,0,0,0,0,0
355682,0,192,27,1,17,17,0,175,36,4,17,0,0,154,36,0,20,1,0,153,35,0,12,0,0,112,39,6,11,0,16,180,38,1,50,6,0,24,2,0,0,0
351933,0,246,27,33,124,1,0,156,26,28,64,2,0,270,30,41,126,5,0,251,37,32,93,3,0,291,31,39,142,2,0,0,0,0,0,0,0,0,0,0,0,0
348515,128,167,14,37,136,0,166,254,10,33,63,0,0,133,22,55,161,0,93,229,15,33,65,0,72,100,23,29,138,0,0,19,4,26,51,0,0,0,0,0,0,0
357752,0,223,20,126,127,0,0,218,24,135,180,0,0,217,24,124,156,0,2,204,31,123,168,0,0,216,29,115,174,0,0,0,0,0,0,0,0,0,0,0,0,0
357804,0,147,19,57,95,6,0,158,40,58,86,4,0,130,40,71,97,7,0,143,30,50,86,2,0,137,33,51,69,9,0,78,15,17,95,0,0,12,1,0,7,0
346357,69,178,24,15,65,0,58,266,23,13,75,0,0,291,22,29,68,0,65,284,33,22,88,0,91,361,36,23,64,0,1,30,2,0,20,0,0,0,0,0,0,0
330551,0,255,7,13,26,0,0,274,7,6,20,0,0,312,2,8,19,0,84,367,7,12,35,0,52,221,1,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0
359294,0,22,1,62,72,0,0,25,4,77,79,0,0,41,5,51,37,0,0,21,2,64,73,0,0,48,2,69,58,0,0,0,0,0,0,0,0,0,0,0,0,0
895496,0,31,170,1,1,0,0,84,251,0,0,0,0,48,261,3,1,0,0,84,229,0,2,0,0,41,89,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
