issuer_code,type_day,violation_category,count
355231,Week,2,442
355231,Week,3,140
355231,Week,4,396
355231,Week,5,978
355231,Weekend,2,23
355231,Weekend,5,1
355290,Week,1,202
355290,Week,2,504
355290,Week,3,108
355290,Week,4,1
355290,Week,5,112
355290,Week,6,5
355290,Weekend,1,2
355290,Weekend,2,2
355316,Week,1,185
355316,Week,2,205
355316,Week,3,22
355316,Week,4,114
355316,Week,5,153
355316,Weekend,1,3
355316,Weekend,2,139
355316,Weekend,3,26
355316,Weekend,4,4
355316,Weekend,5,126
355418,Week,1,1
355418,Week,2,507
355418,Week,3,205
355418,Week,4,111
355418,Week,5,1487
355418,Week,6,17
355418,Weekend,2,118
355418,Weekend,3,89
355418,Weekend,4,11
355418,Weekend,5,146
355443,Week,1,16
355443,Week,2,285
355443,Week,3,130
355443,Week,4,101
355443,Week,5,752
355443,Weekend,1,2
355443,Weekend,2,32
355443,Weekend,3,14
355443,Weekend,4,4
355443,Weekend,5,37
355603,Week,1,110
355603,Week,2,1034
355603,Week,3,149
355603,Week,4,238
355603,Week,5,937
355603,Weekend,1,5
355603,Weekend,2,158
355603,Weekend,3,20
355603,Weekend,4,12
355603,Weekend,5,244
355604,Week,1,747
355604,Week,2,1250
355604,Week,3,51
355604,Week,4,87
355604,Week,5,266
355604,Week,6,2
355607,Week,1,299
355607,Week,2,486
355607,Week,3,125
355607,Week,4,635
355607,Week,5,878
355607,Weekend,2,3
355607,Weekend,3,2
355607,Weekend,4,2
355607,Weekend,5,19
355618,Week,2,1232
355618,Week,3,177
355618,Week,4,302
355618,Week,5,483
355618,Week,6,199
355618,Weekend,2,86
355618,Weekend,3,12
355618,Weekend,4,61
355618,Weekend,5,83
355618,Weekend,6,4
355635,Week,1,154
355635,Week,2,984
355635,Week,3,158
355635,Week,4,105
355635,Week,5,477
355635,Week,6,2
355671,Week,1,25
355671,Week,2,907
355671,Week,3,312
355671,Week,4,126
355671,Week,5,1127
355671,Week,6,4
355671,Weekend,1,3
355671,Weekend,2,51
355671,Weekend,3,8
355671,Weekend,5,36
355671,Weekend,6,2
355678,Week,1,3
355678,Week,2,185
355678,Week,3,145
355678,Week,4,42
355678,Week,5,421
355678,Weekend,1,1
355678,Weekend,2,15
355678,Weekend,3,16
355678,Weekend,4,10
355678,Weekend,5,37
355682,Week,2,786
355682,Week,3,173
355682,Week,4,11
355682,Week,5,77
355682,Week,6,18
355682,Weekend,1,16
355682,Weekend,2,204
355682,Weekend,3,40
355682,Weekend,4,1
355682,Weekend,5,50
355682,Weekend,6,6
355685,Week,1,316
355685,Week,2,885
355685,Week,3,369
355685,Week,4,404
355685,Week,5,757
356219,Week,1,57
356219,Week,2,897
356219,Week,3,258
356219,Week,4,174
356219,Week,5,377
356219,Weekend,2,364
356219,Weekend,3,38
356219,Weekend,5,26
356276,Week,1,804
356276,Week,2,566
356276,Week,3,123
356276,Week,4,297
356276,Week,5,653
356276,Weekend,1,6
356276,Weekend,2,5
356276,Weekend,3,1
356276,Weekend,4,5
356276,Weekend,5,10
356310,Week,1,6
356310,Week,2,759
356310,Week,3,366
356310,Week,4,155
356310,Week,5,740
356310,Week,6,1
356310,Weekend,2,9
356310,Weekend,3,2
356310,Weekend,4,2
356310,Weekend,5,1
356498,Week,1,154
356498,Week,2,851
356498,Week,3,153
356498,Week,4,114
356498,Week,5,644
356498,Weekend,1,5
356498,Weekend,2,116
356498,Weekend,3,31
356498,Weekend,4,18
356498,Weekend,5,121
356502,Week,1,6
356502,Week,2,838
356502,Week,3,268
356502,Week,4,198
356502,Week,5,1149
356502,Week,6,8
356502,Weekend,1,1
356502,Weekend,2,195
356502,Weekend,3,67
356502,Weekend,4,11
356502,Weekend,5,183
356507,Week,1,274
356507,Week,2,555
356507,Week,3,157
356507,Week,4,311
356507,Week,5,669
356507,Weekend,2,200
356507,Weekend,3,35
356507,Weekend,4,6
356507,Weekend,5,58
356510,Week,1,6
356510,Week,2,770
356510,Week,3,278
356510,Week,4,161
356510,Week,5,1168
356510,Week,6,1
356510,Weekend,1,4
356510,Weekend,2,155
356510,Weekend,3,62
356510,Weekend,4,17
356510,Weekend,5,192
356549,Week,1,616
356549,Week,2,486
356549,Week,3,106
356549,Week,4,248
356549,Week,5,699
356549,Weekend,1,4
356549,Weekend,2,26
356549,Weekend,3,1
356549,Weekend,4,4
356549,Weekend,5,61
357327,Week,1,128
357327,Week,2,2148
357327,Week,3,67
357327,Week,4,45
357327,Week,5,206
357330,Week,1,1
357330,Week,2,1233
357330,Week,3,478
357330,Week,4,54
357330,Week,5,340
357330,Weekend,2,25
357330,Weekend,3,7
357330,Weekend,4,2
357330,Weekend,5,22
357345,Week,2,612
357345,Week,3,135
357345,Week,5,482
357355,Week,2,535
357355,Week,3,181
357355,Week,4,87
357355,Week,5,536
357367,Week,1,14
357367,Week,2,727
357367,Week,3,195
357367,Week,4,312
357367,Week,5,759
357367,Week,6,1
357367,Weekend,1,11
357367,Weekend,2,57
357367,Weekend,3,15
357367,Weekend,4,13
357367,Weekend,5,67
357377,Week,2,843
357377,Week,3,482
357377,Week,4,161
357377,Week,5,1026
357678,Week,1,39
357678,Week,2,529
357678,Week,3,365
357678,Week,4,253
357678,Week,5,1181
357678,Week,6,1
357678,Weekend,2,22
357678,Weekend,3,2
357678,Weekend,5,8
357702,Week,1,608
357702,Week,2,393
357702,Week,3,152
357702,Week,4,255
357702,Week,5,657
357711,Week,2,847
357711,Week,3,390
357711,Week,4,259
357711,Week,5,641
357711,Week,6,21
357711,Weekend,2,134
357711,Weekend,3,14
357711,Weekend,4,37
357711,Weekend,5,94
357711,Weekend,6,2
357716,Week,2,2202
357716,Week,3,157
357716,Week,4,16
357716,Week,5,288
357752,Week,1,2
357752,Week,2,1078
357752,Week,3,128
357752,Week,4,623
357752,Week,5,805
357801,Week,1,7
357801,Week,2,694
357801,Week,3,276
357801,Week,4,340
357801,Week,5,1297
357801,Weekend,1,11
357801,Weekend,2,60
357801,Weekend,3,13
357801,Weekend,4,20
357801,Weekend,5,98
357804,Week,2,715
357804,Week,3,162
357804,Week,4,287
357804,Week,5,433
357804,Week,6,28
357804,Weekend,2,90
357804,Weekend,3,16
357804,Weekend,4,17
357804,Weekend,5,102
358233,Week,1,34
358233,Week,2,844
358233,Week,3,105
358233,Week,4,853
358233,Week,5,909
358233,Weekend,2,2
358233,Weekend,4,8
358233,Weekend,5,20
358525,Week,1,264
358525,Week,2,415
358525,Week,3,105
358525,Week,4,601
358525,Week,5,746
358525,Weekend,1,1
358525,Weekend,2,11
358525,Weekend,3,2
358525,Weekend,4,16
358525,Weekend,5,76
358647,Week,1,9
358647,Week,2,716
358647,Week,3,248
358647,Week,4,718
358647,Week,5,836
358647,Weekend,2,22
358647,Weekend,3,2
358647,Weekend,4,14
358647,Weekend,5,20
358664,Week,2,553
358664,Week,3,35
358664,Week,4,613
358664,Week,5,718
358664,Weekend,2,90
358664,Weekend,3,6
358664,Weekend,4,178
358664,Weekend,5,332
358840,Week,1,12
358840,Week,2,365
358840,Week,3,18
358840,Week,4,798
358840,Week,5,784
358840,Weekend,2,7
358840,Weekend,4,25
358840,Weekend,5,56
358856,Week,1,244
358856,Week,2,514
358856,Week,3,75
358856,Week,4,484
358856,Week,5,829
358856,Weekend,2,57
358856,Weekend,3,3
358856,Weekend,4,65
358856,Weekend,5,183
358868,Week,1,251
358868,Week,2,360
358868,Week,3,169
358868,Week,4,575
358868,Week,5,538
358868,Weekend,1,1
358868,Weekend,2,1
358868,Weekend,4,20
358868,Weekend,5,27
358878,Week,2,832
358878,Week,3,172
358878,Week,4,441
358878,Week,5,726
358889,Week,2,456
358889,Week,3,668
358889,Week,4,631
358889,Week,5,784
358889,Weekend,2,2
358889,Weekend,3,4
358889,Weekend,4,5
358889,Weekend,5,9
358896,Week,2,276
358896,Week,3,14
358896,Week,4,602
358896,Week,5,434
358896,Weekend,2,34
358896,Weekend,3,3
358896,Weekend,4,161
358896,Weekend,5,202
358914,Week,1,800
358914,Week,2,689
358914,Week,3,253
358914,Week,4,244
358914,Week,5,676
358928,Week,1,251
358928,Week,2,427
358928,Week,3,117
358928,Week,4,502
358928,Week,5,588
358929,Week,1,1
358929,Week,2,300
358929,Week,3,19
358929,Week,4,800
358929,Week,5,746
358929,Weekend,2,23
358929,Weekend,3,3
358929,Weekend,4,253
358929,Weekend,5,305
358939,Week,2,233
358939,Week,3,18
358939,Week,4,940
358939,Week,5,640
358939,Weekend,2,34
358939,Weekend,3,8
358939,Weekend,4,242
358939,Weekend,5,226
359294,Week,2,157
359294,Week,3,14
359294,Week,4,323
359294,Week,5,319
359316,Week,1,18
359316,Week,2,217
359316,Week,3,132
359316,Week,4,190
359316,Week,5,318
359316,Week,6,10
359316,Weekend,2,9
359316,Weekend,3,6
359316,Weekend,4,9
359316,Weekend,5,25
359324,Week,2,225
359324,Week,3,159
359324,Week,4,244
359324,Week,5,277
359324,Week,6,1
359324,Weekend,2,17
359324,Weekend,3,6
359324,Weekend,4,7
359324,Weekend,5,23
359325,Week,2,102
359325,Week,3,1
359325,Week,4,295
359325,Week,5,248
359325,Weekend,2,11
359325,Weekend,3,1
359325,Weekend,4,71
359325,Weekend,5,95
359326,Week,2,160
359326,Week,3,24
359326,Week,4,314
359326,Week,5,335
359326,Weekend,2,5
359326,Weekend,3,3
359326,Weekend,4,77
359326,Weekend,5,96
359330,Week,2,148
359330,Week,3,59
359330,Week,4,277
359330,Week,5,373
359330,Week,6,7
359330,Weekend,2,6
359330,Weekend,3,5
359330,Weekend,5,17
894955,Week,2,385
894955,Week,3,611
894955,Week,5,7
894955,Week,,1
894955,Weekend,2,28
894955,Weekend,3,18
894955,Weekend,5,2
895496,Week,2,288
895496,Week,3,1000
895496,Week,4,5
895496,Week,5,5
895496,Weekend,3,2
897937,Week,1,212
897937,Week,2,398
897937,Week,3,352
897937,Week,4,6
897937,Week,5,38
897937,Weekend,1,1
897937,Weekend,2,42
897937,Weekend,3,50
897937,Weekend,4,2
897937,Weekend,5,32
901890,Week,1,2
901890,Week,2,932
901890,Week,3,160
901890,Week,4,1
901890,Week,5,116
901890,Week,,2
901890,Weekend,2,4
901890,Weekend,5,1
903106,Week,1,5
903106,Week,2,88
903106,Week,3,1487
903106,Week,4,2
903106,Week,5,267
903106,Week,,1
903106,Weekend,5,1
904597,Week,2,1047
904597,Week,3,792
904597,Week,4,5
904597,Week,5,48
904597,Week,6,3
904597,Week,,1
904597,Weekend,2,2
904597,Weekend,3,4
906258,Week,1,285
906258,Week,2,959
906258,Week,3,408
906258,Week,4,2
906258,Week,5,81
906258,Week,,2
906258,Weekend,1,1
906258,Weekend,5,1
906659,Week,1,8
906659,Week,2,232
906659,Week,3,639
906659,Week,4,6
906659,Week,5,5
906659,Week,,5
906659,Weekend,3,1
907041,Week,1,22
907041,Week,2,201
907041,Week,3,1469
907041,Week,4,2
907041,Week,5,184
907041,Week,6,1
907041,Week,,2
907041,Weekend,2,4
907041,Weekend,3,8
907041,Weekend,5,2
911170,Week,2,273
911170,Week,3,401
911170,Week,4,1
911170,Weekend,3,1
915560,Week,2,69
915560,Week,3,1121
915560,Week,4,5
915560,Week,5,1
915560,Week,6,1
915560,Week,,5
915560,Weekend,2,8
915560,Weekend,3,18
916949,Week,1,2
916949,Week,2,431
916949,Week,3,20
916949,Week,4,3
916949,Week,5,115
916949,Week,,1
916949,Weekend,2,2
920567,Week,1,143
920567,Week,2,369
920567,Week,3,1342
920567,Week,4,4
920567,Week,5,34
920567,Week,,3
920567,Weekend,1,1
920567,Weekend,2,5
921002,Week,2,74
921002,Week,3,1024
921002,Week,,1
921002,Weekend,2,11
921002,Weekend,3,2
922379,Week,2,56
922379,Week,3,653
922379,Weekend,2,1
922379,Weekend,3,2
925657,Week,1,12
925657,Week,2,1472
925657,Week,3,625
925657,Week,4,21
925657,Week,5,68
925657,Week,,25
925657,Weekend,1,5
925657,Weekend,2,608
925657,Weekend,3,60
925657,Weekend,4,4
925657,Weekend,5,9
925657,Weekend,6,1
925657,Weekend,,1
926024,Week,1,98
926024,Week,2,261
926024,Week,3,1011
926024,Week,4,3
926024,Week,5,12
926024,Week,,17
926024,Weekend,1,2
926024,Weekend,2,11
926024,Weekend,3,24
926112,Week,2,377
926112,Week,3,728
926112,Week,5,34
926112,Week,6,1
926112,Week,,1
926112,Weekend,2,2
926112,Weekend,3,7
926560,Week,1,4
926560,Week,2,312
926560,Week,3,159
926560,Week,4,2
926560,Week,5,7
926560,Week,6,1
926560,Weekend,2,9
926560,Weekend,3,2
926560,Weekend,4,1
927355,Week,2,182
927355,Week,3,1156
927355,Week,4,5
927355,Week,5,3
927355,Week,,1
927355,Weekend,2,10
927355,Weekend,3,21
927373,Week,1,2
927373,Week,2,165
927373,Week,3,875
927373,Week,4,1
927373,Week,5,7
927373,Week,,5
927373,Weekend,2,17
927373,Weekend,3,4
927373,Weekend,5,4
927487,Week,1,2
927487,Week,2,370
927487,Week,3,310
927487,Week,4,1
927487,Week,5,3
927487,Week,,2
927487,Weekend,2,46
927487,Weekend,3,7
927487,Weekend,4,1
927636,Week,1,2
927636,Week,2,542
927636,Week,3,1052
927636,Week,4,5
927636,Week,5,5
927636,Week,,3
927636,Weekend,2,1
927636,Weekend,3,3
927706,Week,2,67
927706,Week,3,553
927706,Week,4,6
927706,Week,5,2
927706,Week,,2
927706,Weekend,2,14
927706,Weekend,3,4
929025,Week,1,1
929025,Week,2,429
929025,Week,3,240
929025,Week,4,5
929025,Week,5,3
929025,Week,,1
929025,Weekend,2,2
929025,Weekend,3,5
929923,Week,1,24
929923,Week,2,966
929923,Week,3,436
929923,Week,4,37
929923,Week,5,42
929923,Week,,8
929923,Weekend,2,4
929923,Weekend,3,2
932402,Week,1,7
932402,Week,2,930
932402,Week,3,1421
932402,Week,4,38
932402,Week,5,6
932402,Weekend,2,3
932402,Weekend,3,25
932845,Week,1,4
932845,Week,2,928
932845,Week,3,1141
932845,Week,4,41
932845,Week,5,7
932845,Week,6,1
932845,Week,,13
932845,Weekend,2,3
934615,Week,1,1
934615,Week,2,124
934615,Week,3,1107
934615,Week,4,5
934615,Week,5,20
934615,Week,,9
934615,Weekend,2,69
934615,Weekend,3,262
934615,Weekend,5,7
934615,Weekend,,3
936299,Week,1,36
936299,Week,2,368
936299,Week,3,883
936299,Week,4,5
936299,Week,5,72
936299,Weekend,1,23
936299,Weekend,2,71
936299,Weekend,3,122
936299,Weekend,4,3
936299,Weekend,5,41
938339,Week,1,110
938339,Week,2,180
938339,Week,3,89
938339,Week,4,4
938339,Week,5,48
938339,Week,,2
938339,Weekend,1,1
938339,Weekend,2,215
938339,Weekend,3,45
938339,Weekend,4,9
938339,Weekend,5,15
938339,Weekend,,1
939874,Week,1,92
939874,Week,2,258
939874,Week,3,563
939874,Week,4,14
939874,Week,5,37
939874,Week,,1
939874,Weekend,2,5
939874,Weekend,3,4
939874,Weekend,5,2
940460,Week,2,165
940460,Week,3,544
940460,Week,,3
940460,Weekend,2,3
940460,Weekend,3,4
940864,Week,1,3
940864,Week,2,178
940864,Week,3,995
940864,Week,4,3
940864,Week,5,1
942819,Week,1,228
942819,Week,2,528
942819,Week,3,869
942819,Week,4,9
942819,Week,5,19
942819,Week,,20
942819,Weekend,1,2
942819,Weekend,2,1
942819,Weekend,3,4
945266,Week,1,9
945266,Week,2,319
945266,Week,3,1089
945266,Week,4,2
945266,Week,5,3
945266,Weekend,2,2
945266,Weekend,3,5
