issuer_code,day_week,day_period,violation_code,count
330198,5,PM,21,40
330198,5,PM,37,2
330198,5,PM,38,21
330198,5,PM,40,2
330198,5,PM,69,1
330198,5,PM,71,1
330198,6,AM,14,41
330198,6,AM,16,27
330198,6,AM,17,28
330198,6,AM,19,2
330198,6,AM,20,49
330198,6,AM,21,58
330198,6,AM,31,3
330198,6,AM,37,22
330198,6,AM,38,198
330198,6,AM,40,6
330198,6,AM,69,1
330198,6,AM,71,5
330198,6,PM,14,8
330198,6,PM,16,11
330198,6,PM,17,1
330198,6,PM,19,1
330198,6,PM,20,11
330198,6,PM,31,4
330198,6,PM,37,20
330198,6,PM,38,57
330198,6,PM,40,3
330198,6,PM,46,3
330198,6,PM,71,6
330198,7,AM,14,15
330198,7,AM,16,6
330198,7,AM,17,15
330198,7,AM,20,13
330198,7,AM,40,5
330198,7,AM,46,1
330198,7,AM,71,1
330198,7,PM,14,112
330198,7,PM,16,31
330198,7,PM,17,54
330198,7,PM,19,28
330198,7,PM,20,46
330198,7,PM,40,18
330198,7,PM,46,6
330198,7,PM,71,14
330291,1,AM,14,104
330291,1,AM,17,4
330291,1,AM,19,15
330291,1,AM,20,44
330291,1,AM,21,281
330291,1,AM,40,34
330291,1,AM,46,65
330291,1,AM,71,6
330291,1,PM,14,2
330291,1,PM,19,1
330291,1,PM,21,3
330291,1,PM,38,11
330291,1,PM,40,3
330291,1,PM,46,6
330291,2,AM,14,95
330291,2,AM,16,2
330291,2,AM,17,3
330291,2,AM,19,16
330291,2,AM,20,46
330291,2,AM,21,233
330291,2,AM,38,4
330291,2,AM,40,33
330291,2,AM,46,56
330291,2,AM,71,9
330291,2,PM,14,7
330291,2,PM,19,2
330291,2,PM,20,4
330291,2,PM,21,4
330291,2,PM,38,26
330291,2,PM,40,4
330291,2,PM,46,21
330291,2,PM,71,3
330291,3,AM,14,117
330291,3,AM,16,2
330291,3,AM,17,4
330291,3,AM,19,14
330291,3,AM,20,40
330291,3,AM,21,211
330291,3,AM,38,11
330291,3,AM,40,22
330291,3,AM,46,71
330291,3,AM,71,6
330291,3,PM,21,4
330291,3,PM,40,1
330291,4,AM,14,87
330291,4,AM,17,3
330291,4,AM,19,15
330291,4,AM,20,42
330291,4,AM,21,240
330291,4,AM,38,3
330291,4,AM,40,27
330291,4,AM,46,53
330291,4,AM,71,4
330291,4,PM,19,2
330291,4,PM,21,7
330291,4,PM,40,2
330291,4,PM,46,1
330291,5,AM,14,111
330291,5,AM,16,3
330291,5,AM,17,4
330291,5,AM,19,16
330291,5,AM,20,49
330291,5,AM,21,237
330291,5,AM,38,13
330291,5,AM,40,34
330291,5,AM,46,75
330291,5,AM,71,9
330291,5,PM,14,4
330291,5,PM,19,2
330291,5,PM,20,5
330291,5,PM,21,1
330291,5,PM,37,1
330291,5,PM,38,6
330291,5,PM,40,5
330291,5,PM,46,7
330291,5,PM,71,1
330291,6,AM,14,21
330291,6,AM,17,6
330291,6,AM,19,11
330291,6,AM,20,68
330291,6,AM,21,283
330291,6,AM,38,120
330291,6,AM,40,83
330291,6,AM,46,10
330291,6,AM,71,10
330291,6,PM,16,2
330291,6,PM,19,2
330291,6,PM,20,2
330291,6,PM,38,1
330291,6,PM,40,1
330291,6,PM,46,1
330291,7,AM,14,4
330291,7,AM,17,1
330291,7,AM,19,5
330291,7,AM,20,48
330291,7,AM,40,64
330291,7,AM,46,9
330291,7,AM,71,6
330291,7,PM,14,1
330291,7,PM,19,1
330291,7,PM,20,1
330291,7,PM,40,1
330692,1,AM,14,191
330692,1,AM,16,39
330692,1,AM,17,3
330692,1,AM,19,14
330692,1,AM,20,47
330692,1,AM,21,68
330692,1,AM,31,41
330692,1,AM,37,8
330692,1,AM,38,18
330692,1,AM,40,26
330692,1,AM,46,5
330692,1,AM,47,29
330692,1,AM,69,62
330692,1,AM,71,10
330692,1,PM,14,7
330692,1,PM,19,2
330692,1,PM,20,6
330692,1,PM,21,5
330692,1,PM,31,10
330692,1,PM,37,5
330692,1,PM,47,2
330692,1,PM,69,10
330692,1,PM,71,2
330692,2,AM,14,199
330692,2,AM,16,28
330692,2,AM,17,7
330692,2,AM,19,21
330692,2,AM,20,40
330692,2,AM,21,53
330692,2,AM,31,32
