issuer_code,vcount,dcount
330551,2017,97
330571,309,115
330581,1161,145
330587,30,13
330593,2085,135
330595,161,86
330602,802,130
330621,76,49
330666,206,120
330676,1,1
330692,5112,146
330711,929,141
330713,37,20
330718,1,1
330722,592,151
330749,821,95
330791,1,1
330794,413,122
330800,210,13
330827,1,1
330876,161,80
330881,1172,45
330890,52,25
330898,530,176
330924,2243,150
330925,962,120
330957,1773,121
330974,1,1
330977,352,90
330978,1990,130
330980,424,129
331000,50,21
331008,306,89
331052,1,1
331074,1001,99
331095,3,3
331096,488,148
331113,2090,81
331160,189,86
331195,1,1
331201,2,2
331211,1,1
331217,2512,119
331219,523,143
331220,4035,129
331240,12,1
331256,1,1
331261,2370,135
331266,23,21
331267,1,1
331269,237,116
331282,1,1
331295,511,133
331303,1,1
331335,279,122
331351,3465,134
331356,1491,153
331433,608,69
331434,141,68
331464,1,1
331468,346,136
331492,27,20
331504,390,141
331510,3663,104
331554,709,39
331589,206,99
331638,1,1
331639,169,73
331652,322,131
331657,1084,150
331666,1,1
331669,1,1
331689,27,16
331700,1322,148
331702,501,151
331732,1,1
331733,3687,139
331752,1,1
331780,1,1
331781,1,1
331782,96,66
331788,1,1
331794,2320,115
331811,145,51
331824,67,55
331825,452,153
331828,1,1
331829,2448,116
331847,239,124
331874,359,21
331897,5,3
331939,361,134
332002,1,1
332021,3003,126
332045,8,3
332078,425,72
332086,3228,129
332100,214,111
332131,426,146
332133,3611,146
332162,1,1
332195,1,1
332277,1,1
332418,701,103
332944,1604,138
332976,1,1
332978,313,109
333010,375,115
333012,304,125
333018,1,1
333032,1260,155
333040,27,18
333060,44,16
333163,4051,132
333188,287,134
333195,50,18
333201,324,28
333229,333,17
333237,7,4
333251,868,30
333254,349,146
333264,361,142
333279,10,6
333386,4138,131
333454,214,109
333580,1,1
333628,340,145
333644,1,1
333652,227,13
333733,4527,155
333744,347,129
335290,4,4
335577,1,1
335588,2,2
335598,1,1
336015,1,1
336344,1,1
336571,1,1
336580,1,1
336811,1,1
337767,4,4
337768,7,6
337778,4811,142
338029,1,1
338078,1,1
338088,1,1
338500,1,1
338538,1,1
338548,1,1
338558,2,2
338561,45,22
338568,61,51
338573,1,1
338577,44,24
338580,279,119
338583,487,166
338586,1,1
338588,531,169
338590,207,21
338594,1,1
338598,7,5
338607,175,63
338615,1,1
338619,333,71
338620,1,1
338625,139,66
338628,484,147
338629,281,100
338637,248,114
338648,1,1
338680,1,1
338788,2,2
338793,1,1
338843,1458,60
338852,3143,126
338894,2520,102
338901,6,3
338902,1,1
340040,31,18
340045,174,53
340047,92,9
340051,5905,153
340079,3807,133
340095,3253,136
340110,1,1
340118,666,113
340845,1,1
340999,1,1
341149,860,155
341171,3109,140
341173,520,141
341195,1246,53
341203,2832,123
341211,8,5
341220,451,142
341222,1,1
341240,2357,123
341248,1252,48
341249,1,1
341252,240,92
341255,3020,124
341278,817,41
341280,232,96
341292,4661,168
341298,4790,138
341536,1,1
341588,1,1
341891,2423,114
341905,1,1
341938,2990,107
341942,1,1
341943,3986,137
341945,390,150
341952,2,2
341955,1,1
341964,2508,119
341966,3021,117
341980,3586,111
342220,1,1
342402,1,1
342509,24,19
342512,316,128
342513,1,1
342517,21,13
342533,1326,149
342551,1390,146
342588,1,1
342817,1,1
342902,337,150
342912,2,2
342913,1,1
342915,196,27
342966,5301,141
342983,198,89
343049,1,1
343264,1,1
343400,1,1
343455,1848,125
343495,335,117
343709,425,21
343728,230,98
343731,2,2
343734,1253,51
343900,32,12
343904,292,83
343908,1,1
343918,4687,153
343920,1670,61
343930,1637,83
343941,308,131
343944,127,68
344287,1,1
344767,958,50
344778,6677,197
344787,422,121
345045,2,2
345047,269,98
345058,3999,156
345063,1633,63
345097,360,108
345115,4121,159
345122,3,3
345131,4105,136
345140,280,102
345151,79,33
345163,1,1
345173,347,124
345178,594,143
345185,303,125
345191,994,42
345195,1,1
345202,2,2
345212,1,1
345221,5424,147
345232,1,1
345234,1,1
345236,79,15
345238,5009,138
345260,1,1
345264,65,33
345275,6552,192
345295,1,1
345314,1,1
345320,5243,188
345323,898,161
345329,4274,156
345331,4641,157
345340,419,20
345369,2378,144
345370,40,23
345380,18,8
345388,1846,116
345395,116,36
345434,346,115
345453,2139,86
345454,3150,129
345457,4,4
345497,1,1
345502,324,17
345513,2351,130
345528,11,10
345531,3398,147
345532,2,2
345535,1696,78
345536,2097,69
345540,1156,38
345551,2190,145
345553,1,1
345555,3076,135
345557,1006,85
345560,4884,147
345736,4,2
345917,1,1
345992,2,1
345997,423,128
346000,2,2
346001,3909,169
346004,166,84
346005,418,20
346006,2,2
346020,3750,150
346021,1,1
346040,1,1
346044,1,1
346045,1754,92
346046,2,2
346050,12,11
346051,1,1
346053,3303,140
346056,144,66
346060,1,1
346066,4,4
346071,424,149
346086,2853,132
346095,4,2
346101,217,51
346105,7301,158
346106,1,1
346109,4432,147
346110,342,129
346112,1542,61
346115,2,2
346116,260,11
346120,2,1
346129,685,27
346143,549,127
346147,52,16
346156,1,1
346157,2579,115
346166,3253,163
346167,2543,140
346170,375,124
346171,131,24
346176,1769,69
346183,3474,134
346188,6,3
346191,1,1
346192,1911,102
346193,3684,137
346195,263,98
346204,1834,126
346218,230,15
346221,3058,128
346232,381,147
346330,5986,155
346346,6507,164
346350,613,157
346354,390,12
346357,2657,127
346365,619,99
346372,57,39
346380,419,128
346381,5909,172
346393,9,5
346409,4026,129
346645,1,1
346860,1,1
346945,2,2
347070,2,2
347220,1,1
347380,1,1
347424,2,2
347425,100,7
347446,1,1
347454,4289,152
347489,8551,193
347493,373,140
347576,742,55
347580,292,78
347581,1028,54
347585,1,1
347586,4,4
347588,34,26
347589,1,1
347590,1,1
347593,4785,147
347594,1792,147
347609,2834,108
347610,2,2
347628,4461,168
347634,1,1
347639,369,141
347647,13,3
347650,3741,165
347656,273,119
347670,422,144
347674,3875,123
347675,578,23
347678,720,170
347679,1764,107
347684,2986,122
347685,3,2
347687,7110,163
347888,1,1
348045,1,1
348185,1,1
348353,34,17
348355,1,1
348495,1579,62
348504,10,3
348507,279,92
348515,2638,133
348520,2871,99
348527,1,1
348550,1,1
348551,707,30
348552,1,1
348553,1280,90
348555,1,1
348566,3960,137
348569,234,19
348573,4033,162
348578,1,1
348588,1,1
348589,1,1
348602,4,3
348624,2261,82
348652,288,122
348953,1,1
349470,157,88
349475,3786,157
349476,2,2
349481,5810,141
349488,18,1
349497,1491,53
349505,282,18
349537,4477,179
349538,4376,140
349539,1,1
349567,285,12
349570,7948,161
349576,4976,162
349580,1,1
349847,2151,79
349848,1635,72
349850,5527,159
349851,4291,178
349862,3737,142
349865,3,3
349867,3453,127
349868,80,4
349904,2618,140
349905,3241,137
349906,167,76
350285,3228,137
350290,1,1
350291,2,2
350307,2797,133
350310,3634,150
350317,361,133
350377,16,11
350401,4474,144
350407,4582,151
350408,3925,168
350411,3065,128
350421,639,96
350423,5378,159
350424,3640,125
350425,2826,86
350433,6608,173
350439,2624,87
350513,2090,102
350517,1,1
351030,1,1
351202,1724,97
351205,1651,72
351207,4762,185
351210,1532,54
351213,1,1
351214,4177,161
351215,878,165
351216,1,1
351220,1,1
351229,864,31
351230,53,3
351238,1,1
351239,3573,121
351242,1,1
351250,948,45
351256,1081,160
351262,2688,133
351266,3,3
351267,2,2
351269,180,18
351274,6865,147
351276,1,1
351277,4135,166
351280,4783,132
351286,1,1
351289,154,25
351298,453,21
351311,4801,191
351313,1,1
351315,2428,131
351322,923,34
351914,1,1
351919,4412,143
351929,6726,178
351933,2492,129
351939,1,1
351949,4414,162
351950,3709,150
351962,1,1
351969,169,49
351985,36,3
351995,5411,177
351997,5613,157
352009,3659,157
352012,1480,93
352017,3,3
352022,36,2
352030,135,88
352036,5683,173
352050,1,1
352064,3406,136
352065,424,99
352069,2859,125
352070,4886,143
352079,5909,155
352089,640,34
352940,3761,156
352946,4180,115
352950,5358,144
352957,4390,157
352958,284,29
352987,2,2
352991,1936,89
352992,3655,114
352995,2192,166
353002,219,13
353063,210,13
353069,5253,157
353070,5633,144
353071,5226,202
353076,1937,69
353094,3355,148
353096,1,1
353098,2851,108
353103,803,37
353131,3728,163
353135,385,20
353143,4715,167
353145,3836,165
353157,272,14
353162,1,1
353163,64,4
353164,5386,162
353165,1,1
353167,2,1
353176,2729,91
353192,3364,134
353193,43,3
353194,5032,137
353272,3643,155
353405,289,11
353408,2266,67
353422,53,36
353424,4489,129
353428,71,4
353431,2780,137
353435,2992,126
353439,2122,74
353453,235,11
353469,4137,145
353475,836,41
353485,3136,120
353486,3572,77
353508,6473,193
353511,3632,139
353512,3294,151
353513,1,1
353525,3412,137
353998,3596,141
354016,8,2
354018,1,1
354043,4862,149
354048,1275,62
354056,1,1
354070,3054,122
354083,279,16
354084,6637,173
354098,6471,162
354109,4194,147
354118,87,4
354121,1,1
354125,5323,153
354150,2907,144
354154,3524,141
354159,2983,118
354164,4808,184
354181,3662,157
354188,277,11
354205,5055,166
354212,3298,143
354213,4433,160
354380,1,1
355001,1,1
355050,4073,136
355052,3038,118
355057,2627,153
355060,3430,147
355061,23,4
355065,101,6
355073,5112,161
355079,3906,160
355080,4276,144
355095,407,9
355100,339,21
355113,5897,191
355115,495,21
355117,4357,142
355118,400,22
355120,4453,173
355130,2723,114
355131,168,8
355134,5600,130
355135,2323,109
355137,3992,153
355144,5682,173
355145,5568,189
355156,4695,134
355157,265,10
355159,59,5
355162,3711,145
355163,300,19
355179,2749,113
355180,4276,161
355183,4179,163
355186,1940,78
355199,1108,48
355200,2,2
355201,154,7
355205,5169,167
355206,284,28
355207,1556,81
355208,2856,129
355209,4391,169
355210,2,2
355212,5126,170
355217,4217,147
355218,4189,133
355220,5961,165
355224,5912,167
355226,2736,128
355229,4057,179
355231,2380,119
355233,4799,185
355237,792,38
355250,1,1
355253,3328,124
355256,3,3
355270,2,2
355283,5315,155
355290,1091,69
355291,3,3
355292,171,11
355296,1004,47
355298,1,1
355299,1,1
355313,4109,166
355316,1110,51
355323,3460,132
355324,1326,48
355325,3357,136
355328,20,1
355414,935,46
355417,5713,179
355418,3063,144
355422,1,1
355425,4395,160
355428,2544,80
355429,589,20
355437,4597,176
355438,5547,173
355443,1721,91
355444,3097,135
355446,5202,164
355450,3911,152
355451,3876,122
355453,5148,160
355455,594,29
355459,2455,91
355472,4017,173
355480,2141,90
355492,2663,90
355493,886,43
355497,4691,136
355530,4418,152
355532,3217,100
355537,3071,135
355538,5782,145
355546,2607,84
355548,185,8
355551,3442,140
355556,2151,97
355560,1237,39
355562,3451,132
355567,5753,157
355575,986,37
355582,4340,158
355588,2005,62
355593,3844,163
355597,216,10
355603,3395,161
355604,2531,125
355607,2865,145
355618,3306,148
355619,4405,142
355631,3490,139
355632,4530,175
355635,2102,102
355636,1815,79
355639,3670,119
355640,1,1
355642,5287,175
355649,876,48
355652,1515,63
355654,3979,168
355660,3121,128
355671,3043,136
355672,4066,146
355675,4989,160
355677,5552,185
355678,1436,71
355682,2145,126
355685,3186,144
355691,4136,121
355698,180,7
355699,3780,162
355705,692,34
355706,1251,37
355707,86,5
355710,5327,153
355712,1439,60
355790,6,6
356045,1,1
356179,3979,155
356181,4721,146
356184,4417,168
356188,42,5
356191,4260,155
356197,3152,114
356212,1493,56
356214,4715,159
356219,2287,103
356225,6515,169
356235,1,1
356243,4006,154
356244,672,33
356245,424,20
356255,3525,133
356258,4565,165
356259,4587,143
356260,2516,102
356261,5316,156
356262,5551,173
356263,677,24
356267,2877,120
356274,2350,84
356276,2810,136
356300,4561,183
356304,7623,172
356308,5098,160
356310,2039,108
356314,7036,214
356319,2173,94
356323,2415,106
356334,1,1
356335,4491,157
356344,19,1
356349,3352,148
356350,260,13
356352,4732,154
356356,4912,162
356484,5657,155
356491,3288,115
356492,2962,126
356498,2550,123
356502,3461,157
356505,2719,99
356507,2754,132
356510,3288,149
356512,4789,138
356518,4214,137
356520,3253,132
356521,5449,190
356522,3269,113
356525,804,30
356526,3503,144
356543,1801,77
356549,2610,130
356550,869,37
356552,2449,105
356554,243,14
356556,4230,157
356557,173,7
356563,765,31
356565,4511,156
356948,382,19
356959,3821,128
356960,1529,54
356961,4047,150
356962,3561,134
356964,3716,105
356968,3823,154
356971,524,24
356974,3145,137
356976,3579,129
356978,5360,192
356980,3319,141
356986,4935,174
356987,3671,162
357057,38,2
357068,4061,140
357072,2,1
357073,5790,165
357078,4920,170
357079,3246,131
357083,245,10
357086,6512,196
357088,6112,176
357090,4872,186
357094,4465,179
357097,4133,163
357113,3200,105
357163,1,1
357322,3779,163
357327,3068,138
357328,2985,111
357330,2771,127
357337,119,8
357338,6803,194
357345,1436,85
357346,4535,181
357355,1558,103
357360,7207,179
357366,3519,139
357367,2708,172
357377,3045,148
357427,1,1
357677,3888,146
357678,2704,134
357679,4101,159
357689,4228,139
357692,3101,135
357699,4516,167
357700,4741,154
357701,6062,203
357702,2101,95
357711,3060,162
357716,3305,149
357719,3606,150
357721,4369,130
357722,3556,145
357723,4551,177
357724,5856,160
357735,6171,167
357736,6184,177
357737,3878,160
357740,4101,169
357751,5054,160
357752,3218,144
357756,1391,55
357762,1815,70
357765,1,1
357767,4457,191
357771,5768,168
357779,3859,145
357780,3993,150
357783,7578,188
357784,155,6
357786,2526,105
357792,7155,169
357795,2891,126
357801,3248,147
357802,3410,115
357804,2269,107
357805,54,7
357806,4247,173
357969,1,1
358115,3357,136
358117,5748,151
358119,4973,138
358122,2492,94
358126,5258,181
358127,2687,111
358128,6543,170
358130,4535,174
358136,2008,71
358140,4070,166
358143,3417,134
358150,7,1
358152,242,8
358165,224,9
358168,1178,45
358176,3289,134
358179,117,7
358181,4027,158
358184,5373,189
358187,4749,158
358194,7315,168
358195,2038,75
358198,4295,156
358200,1529,57
358204,5391,154
358207,3836,153
358213,4160,166
358214,5711,171
358215,3431,126
358222,4,1
358228,4227,138
358233,3472,155
358235,4203,153
358241,3198,132
358245,5097,180
358246,4779,187
358525,2654,122
358567,4403,166
358570,5518,164
358573,3746,162
358576,3602,154
358577,4785,188
358579,5104,166
358582,2473,96
358583,4223,159
358584,3179,133
358585,4540,162
358588,1,1
358590,4341,175
358591,4896,180
358594,5958,188
358596,2412,107
358597,117,6
358599,3899,161
358600,7028,197
358603,4645,155
358607,4581,148
358608,4619,158
358615,3672,158
358616,1,1
358617,6379,184
358623,8433,204
358626,4091,169
358627,4004,156
358635,3716,160
358637,3416,146
358643,4305,180
358647,3216,148
358653,4549,179
358658,4911,187
358659,4129,170
358664,3371,165
358669,5119,206
358840,2793,142
358847,5346,183
358856,3088,138
358857,5351,167
358859,4416,173
358862,4022,158
358863,5139,169
358866,3371,134
358868,2434,112
358869,4511,161
358870,3660,153
358872,3443,142
358873,3323,115
358875,3960,143
358877,3373,149
358878,3123,143
358879,3782,154
358881,3824,156
358882,3294,123
358883,3953,156
358889,3276,152
358892,4675,156
358893,3423,136
358896,2438,126
358900,3675,149
358901,4516,168
358904,3872,150
358905,3154,133
358906,3481,154
358911,1,1
358912,4415,190
358913,3840,139
358914,3089,149
358915,2,2
358920,2048,89
358925,3776,150
358927,3201,139
358928,2269,140
358929,3421,157
358931,1,1
358934,5005,188
358936,4886,151
358938,3816,160
358939,3392,152
358943,3599,145
358944,5055,163
358945,4145,160
358947,3972,151
358948,5651,161
358958,1,1
359282,1993,85
359286,1627,70
359288,32,1
359290,6,6
359292,1966,81
359294,1515,68
359296,2,2
359300,1446,62
359305,1679,73
359316,1451,69
359324,1602,72
359325,1437,69
359326,1739,82
359330,1552,71
359336,2353,78
359565,140,12
359567,105,9
359568,156,11
359569,230,12
359571,132,12
359573,104,12
359574,115,12
359575,105,12
359578,97,9
359584,76,9
359586,111,12
359587,158,12
359588,99,12
359589,144,12
359591,164,11
359592,163,12
359594,122,12
359596,170,12
359597,1,1
359598,130,12
359601,164,12
359603,120,10
359605,87,9
359606,151,9
359607,114,12
359608,166,12
359610,138,12
359611,126,11
359614,133,11
359616,103,12
359618,154,12
359619,110,12
359620,151,12
359622,101,9
359627,201,12
359628,168,12
359631,119,12
359632,123,12
359633,87,9
359634,152,11
361256,2,1
361969,1,1
364045,1,1
365065,1,1
366045,3,2
380890,1,1
384725,3,1
387626,1,1
392770,1,1
394599,1,1
396045,2,2
396101,1,1
396195,1,1
396283,1,1
398504,1,1
398652,1,1
399290,3,3
401656,1,1
404116,1,1
404597,1,1
405753,1,1
406397,1,1
407045,1,1
411177,2,2
415025,1,1
415952,1,1
416244,1,1
416406,1,1
418117,2,1
419615,1,1
421543,1,1
425607,1,1
425795,1,1
425895,1,1
426024,4,4
426029,1,1
426182,4,3
426324,1,1
426638,1,1
426948,1,1
427373,2,2
427450,1,1
427706,1,1
429184,2,2
429429,1,1
429533,1,1
432402,1,1
432845,1,1
432926,1,1
433055,2,2
433059,2,2
434104,1,1
436299,1,1
436597,1,1
437927,1,1
438287,1,1
441803,1,1
443544,1,1
444693,1,1
446069,1,1
446402,1,1
447845,1,1
447894,1,1
447895,73,30
448838,1,1
449170,1,1
450131,1,1
450311,1,1
452243,1,1
452534,1,1
453354,1,1
453705,1,1
453725,1,1
453849,1,1
454296,1,1
454313,1,1
454359,1,1
454431,1,1
455073,1,1
455270,1,1
469985,1,1
470830,1,1
479762,1,1
483284,1,1
483354,1,1
483380,1,1
483384,89,49
483389,1,1
483390,1,1
486733,1,1
489674,1,1
490160,3,3
490187,1,1
493629,1,1
494514,1,1
496391,1,1
496533,1,1
497065,1,1
500412,4,3
501263,1,1
501264,6,6
501265,110,44
501287,1,1
501309,3,3
501336,4,3
501343,1,1
501975,2,2
502715,1,1
502962,2,2
503106,4,3
504075,5,3
504521,1,1
504527,1,1
504529,10,3
504776,1,1
505280,2,1
505410,1,1
505412,163,38
505413,1,1
505422,1,1
505462,1,1
505906,6,4
505912,1,1
506212,53,22
506242,17,13
506742,1,1
507424,1,1
508412,2,2
510935,39,15
512962,1,1
514769,9,2
515321,2,2
515323,2,2
515324,177,36
515334,1,1
515555,1,1
515561,2,1
516215,2,2
516665,1,1
516725,2,2
518640,1,1
520106,1,1
520470,1,1
521925,1,1
521970,1,1
521973,1,1
521975,29,19
521977,1,1
521978,2,2
522095,1,1
522328,10,5
522867,1,1
524961,1,1
526661,1,1
527337,1,1
527424,1,1
527426,51,11
527428,27,16
527567,1,1
527615,14,1
527619,1,1
527621,1,1
527637,1,1
527661,15,5
527670,23,12
527677,4,3
527682,1,1
527689,2,1
527863,1,1
527867,311,73
527967,1,1
528326,2,1
528351,3,1
528373,4,1
528562,1,1
528588,1,1
528605,2,1
528611,2,1
529207,1,1
529707,13,10
530102,1,1
530182,1,1
530794,1,1
530809,2,1
530811,1,1
530812,2,2
530818,18,16
531108,1,1
531283,1,1
531401,5,3
531639,1,1
532512,1,1
532645,1,1
533012,4,4
533214,132,43
533259,23,3
533270,1,1
533275,230,28
533277,1,1
533295,1,1
533714,1,1
533734,2,2
533735,2,2
533739,203,61
533758,4,2
533759,1,1
533762,1,1
533810,10,1
533911,5,2
534111,2,1
534115,1,1
534126,173,63
534132,8,2
534144,2,2
534160,1,1
534162,13,3
534178,1,1
534572,1,1
534615,2,2
534647,1,1
534698,1,1
534916,11,5
534958,6,4
534961,1,1
535030,1,1
535031,44,12
535032,1,1
535036,59,39
535068,25,7
535636,1,1
535739,1,1
536304,1,1
536962,1,1
537513,1,1
537809,1,1
537853,3,1
537866,3,1
537886,3,1
538013,1,1
538102,1,1
538132,4,4
538179,2,2
538181,1,1
538182,93,42
538188,1,1
538190,2,2
538192,1,1
538199,1,1
538305,9,3
538338,1,1
538545,1,1
538741,3,2
538786,1,1
538971,1,1
539036,1,1
539182,3,3
539372,1,1
539512,1,1
539522,1,1
539539,15,4
539541,1,1
539545,377,57
539548,1,1
539556,11,3
539557,26,11
539572,86,16
539911,1,1
540113,11,7
540122,1,1
540124,2,2
540127,7,2
540131,2,2
540181,78,27
540713,1,1
540781,1,1
540895,1,1
541098,10,2
542837,1,1
542916,2,2
544290,2,1
544296,1,1
545359,1,1
546050,1,1
546181,1,1
546530,2,2
546550,1,1
547564,1,1
548249,1,1
548260,3,3
548264,1,1
548266,20,11
548294,1,1
548295,1,1
548299,99,49
548365,116,31
548368,2,2
548385,1,1
548743,1,1
548799,1,1
549866,1,1
549880,9,7
551932,6,6
551944,1,1
552960,1,1
552962,2,2
553285,1,1
554056,1,1
554256,61,34
554290,203,33
554292,1,1
554294,2,1
554295,1,1
554301,1,1
554320,18,4
554370,1,1
554826,1,1
554829,34,11
554832,45,10
554839,1,1
554879,1,1
554896,3,1
555290,1,1
555555,1,1
556935,1,1
