issuer_code,violation_category,violation_time_bucket,count
333733,2,7,26
333733,2,8,452
333733,2,9,474
333733,2,10,475
333733,2,11,539
333733,2,12,337
333733,3,6,3
333733,3,7,7
333733,3,8,91
333733,3,9,100
333733,3,10,60
333733,3,11,43
333733,3,12,40
333733,4,7,2
333733,4,8,64
333733,4,9,105
333733,4,10,114
333733,4,11,63
333733,4,12,48
333733,5,6,3
333733,5,7,14
333733,5,8,182
333733,5,9,242
333733,5,10,201
333733,5,11,141
333733,5,12,106
333733,6,7,5
333733,6,8,104
333733,6,9,36
333733,6,10,15
333733,6,11,14
333733,6,12,13
337778,1,2,11
337778,1,3,1
337778,1,4,14
337778,1,5,114
337778,1,6,186
337778,1,7,149
337778,2,1,6
337778,2,2,30
337778,2,3,34
337778,2,4,49
337778,2,5,172
337778,2,6,175
337778,2,7,147
337778,2,8,89
337778,2,9,58
337778,2,10,55
337778,2,11,10
337778,2,12,93
337778,3,1,1
337778,3,2,11
337778,3,3,7
337778,3,4,15
337778,3,5,68
337778,3,6,198
337778,3,7,76
337778,3,8,62
337778,3,9,22
337778,3,10,19
337778,3,11,7
337778,3,12,49
337778,4,3,7
337778,4,4,22
337778,4,5,159
337778,4,6,188
337778,4,7,177
337778,4,8,119
337778,4,9,78
337778,4,10,56
337778,4,11,7
337778,4,12,100
337778,5,1,24
337778,5,2,75
337778,5,3,101
337778,5,4,94
337778,5,5,297
337778,5,6,320
337778,5,7,257
337778,5,8,127
337778,5,9,86
337778,5,10,57
337778,5,11,18
337778,5,12,184
337778,6,5,2
337778,6,6,1
337778,6,7,1
337778,6,8,1
340051,1,2,26
340051,1,3,2
340051,1,5,1
340051,1,6,6
340051,2,1,337
340051,2,2,622
340051,2,3,880
340051,2,4,1012
340051,2,5,878
340051,2,6,280
340051,2,7,144
340051,2,8,245
340051,2,9,343
340051,2,10,195
340051,2,11,23
340051,3,1,17
340051,3,2,23
340051,3,3,72
340051,3,4,122
340051,3,5,140
340051,3,6,69
340051,3,7,36
340051,3,8,108
340051,3,9,80
340051,3,10,49
340051,3,11,4
340051,5,1,15
340051,5,2,8
340051,5,3,8
340051,5,4,10
340051,5,5,12
340051,5,6,2
340051,5,7,2
340051,5,8,4
340051,5,9,2
340051,5,10,4
341298,1,3,3
341298,1,10,1
341298,2,2,18
341298,2,3,108
341298,2,4,86
341298,2,5,2
341298,2,6,2
341298,2,7,21
341298,2,8,250
341298,2,9,539
341298,2,10,430
341298,2,11,279
341298,2,12,127
341298,3,2,25
341298,3,3,49
341298,3,4,26
341298,3,5,5
341298,3,6,1
341298,3,7,5
341298,3,8,70
341298,3,9,81
341298,3,10,47
341298,3,11,21
341298,3,12,23
341298,4,3,8
341298,4,4,1
341298,4,7,3
341298,4,8,57
341298,4,9,144
341298,4,10,111
341298,4,11,37
341298,4,12,14
341298,5,2,12
341298,5,3,118
341298,5,4,75
341298,5,5,2
341298,5,6,2
341298,5,7,12
341298,5,8,161
341298,5,9,365
341298,5,10,246
341298,5,11,129
341298,5,12,60
341298,6,4,1
341298,6,9,5
341298,6,10,5
341298,6,11,4
341943,2,1,1
341943,2,2,38
341943,2,3,124
341943,2,4,190
341943,2,5,107
341943,2,6,157
341943,2,7,142
341943,2,8,231
341943,2,9,192
341943,2,10,162
341943,2,11,135
341943,2,12,77
341943,3,1,1
341943,3,2,20
341943,3,3,42
341943,3,4,55
341943,3,5,43
341943,3,6,51
341943,3,7,54
341943,3,8,66
341943,3,9,37
341943,3,10,32
341943,3,11,24
341943,3,12,9
341943,4,2,1
341943,4,3,10
341943,4,4,31
341943,4,5,26
341943,4,6,25
341943,4,7,65
341943,4,8,92
341943,4,9,70
341943,4,10,55
341943,4,11,35
341943,4,12,47
341943,5,1,4
341943,5,2,61
341943,5,3,145
341943,5,4,175
341943,5,5,102
341943,5,6,83
341943,5,7,129
341943,5,8,223
341943,5,9,145
341943,5,10,118
341943,5,11,83
341943,5,12,92
341943,6,2,2
341943,6,3,8
341943,6,4,7
341943,6,5,1
341943,6,7,6
341943,6,8,9
341943,6,9,7
341943,6,10,2
341943,6,11,4
341943,6,12,1
341980,1,2,3
341980,1,3,6
341980,2,1,22
341980,2,2,59
341980,2,3,83
341980,2,4,59
341980,2,5,17
341980,2,6,34
341980,2,7,113
341980,2,8,781
341980,2,9,844
341980,2,10,502
341980,2,11,277
341980,2,12,218
341980,3,1,8
341980,3,2,3
341980,3,3,4
341980,3,4,10
341980,3,5,11
341980,3,6,7
341980,3,7,5
341980,3,8,22
341980,3,9,48
341980,3,10,32
341980,3,11,8
341980,3,12,15
341980,4,5,1
341980,4,6,1
341980,4,8,3
341980,4,9,4
341980,4,10,3
341980,4,11,5
341980,5,1,3
341980,5,2,9
341980,5,3,3
341980,5,4,7
341980,5,5,10
341980,5,7,8
341980,5,8,40
341980,5,9,56
341980,5,10,34
341980,5,11,11
341980,5,12,12
341980,6,1,1
341980,6,2,1
341980,6,4,2
342966,1,2,24
342966,1,3,2
342966,1,5,2
342966,1,6,5
342966,2,1,410
342966,2,2,740
342966,2,3,996
342966,2,4,989
342966,2,5,629
342966,2,6,87
342966,2,7,38
342966,2,8,193
342966,2,9,227
342966,2,10,77
342966,2,11,3
342966,3,1,28
342966,3,2,48
342966,3,3,93
342966,3,4,125
342966,3,5,94
342966,3,6,20
342966,3,7,15
342966,3,8,89
342966,3,9,72
342966,3,10,24
342966,3,11,4
342966,5,1,12
342966,5,2,25
342966,5,3,23
342966,5,4,25
342966,5,5,17
342966,5,6,1
342966,5,7,1
342966,5,8,5
342966,5,9,4
342966,5,10,2
343918,1,1,11
343918,1,2,211
343918,1,3,685
343918,1,4,367
343918,1,5,11
343918,1,6,555
343918,1,7,4
343918,2,1,338
343918,2,2,686
343918,2,3,344
343918,2,4,247
343918,2,5,96
343918,2,6,83
343918,2,7,22
343918,2,9,3
343918,3,1,89
343918,3,2,54
343918,3,3,38
343918,3,4,62
343918,3,5,24
343918,3,6,102
343918,3,7,7
343918,3,8,5
343918,3,11,1
343918,5,1,90
343918,5,2,116
343918,5,3,79
343918,5,4,80
343918,5,5,29
343918,5,6,24
344778,1,1,16
344778,1,2,226
344778,1,3,881
344778,1,4,599
344778,1,5,44
344778,1,6,628
344778,1,7,38
344778,2,1,920
344778,2,2,1039
344778,2,3,501
344778,2,4,283
344778,2,5,221
344778,2,6,146
344778,2,7,40
344778,2,8,10
344778,2,9,10
344778,2,10,5
344778,2,11,2
344778,3,1,96
344778,3,2,64
344778,3,3,24
344778,3,4,33
344778,3,5,105
344778,3,6,37
344778,3,7,7
344778,3,8,5
344778,3,9,4
344778,3,11,1
344778,3,12,2
344778,4,3,1
344778,4,4,3
344778,4,5,1
344778,4,6,1
344778,5,1,47
344778,5,2,60
344778,5,3,93
344778,5,4,125
344778,5,5,38
344778,5,6,36
344778,5,7,5
344778,5,8,2
344778,5,9,1
345221,1,1,83
345221,1,2,318
345221,1,3,437
345221,1,4,594
345221,1,5,184
345221,1,6,647
345221,1,7,42
345221,2,1,296
345221,2,2,715
345221,2,3,422
345221,2,4,366
345221,2,5,174
345221,2,6,146
345221,2,7,32
345221,2,8,86
345221,2,9,73
345221,2,10,39
345221,2,11,13
345221,2,12,1
345221,3,1,36
345221,3,2,16
345221,3,3,21
345221,3,4,24
345221,3,5,28
345221,3,6,35
345221,3,7,7
345221,3,8,27
345221,3,9,19
345221,3,10,16
345221,3,11,3
345221,4,3,12
345221,4,4,9
345221,4,5,8
345221,4,6,5
345221,4,9,1
345221,4,10,1
345221,5,1,81
345221,5,2,68
345221,5,3,75
345221,5,4,50
345221,5,5,33
345221,5,6,46
345221,5,7,9
345221,5,8,10
345221,5,9,2
345221,5,10,5
345221,5,11,4
345238,1,1,100
345238,1,2,205
345238,1,3,403
345238,1,4,182
345238,1,5,40
345238,1,6,41
345238,2,1,209
345238,2,2,330
345238,2,3,133
345238,2,4,213
345238,2,5,77
345238,2,6,112
345238,2,7,48
345238,2,8,216
345238,2,9,344
345238,2,10,183
345238,2,11,168
345238,2,12,67
345238,3,1,39
345238,3,2,161
345238,3,3,103
345238,3,4,147
345238,3,5,102
345238,3,6,50
345238,3,7,5
345238,3,8,159
345238,3,9,111
345238,3,10,56
345238,3,11,27
345238,3,12,13
345238,4,4,6
345238,4,5,5
345238,4,6,7
345238,4,8,50
345238,4,9,29
345238,4,10,11
345238,4,11,2
345238,4,12,11
345238,5,1,11
345238,5,2,21
345238,5,3,73
345238,5,4,154
345238,5,5,68
345238,5,6,46
345238,5,7,10
345238,5,8,184
345238,5,9,111
345238,5,10,66
345238,5,11,35
345238,5,12,25
345275,1,3,10
345275,2,1,685
345275,2,2,728
345275,2,3,627
345275,2,4,591
345275,2,5,324
345275,2,6,175
345275,2,7,163
345275,2,8,127
345275,2,9,97
345275,2,10,76
345275,2,11,8
345275,3,1,412
345275,3,2,380
345275,3,3,264
345275,3,4,213
345275,3,5,151
345275,3,6,67
345275,3,7,36
345275,3,8,27
345275,3,9,26
345275,3,10,9
345275,3,11,2
345275,4,3,1
345275,5,1,238
345275,5,2,248
345275,5,3,203
345275,5,4,159
345275,5,5,147
345275,5,6,22
345275,5,7,10
345275,5,8,9
345275,5,9,1
345275,5,10,2
345275,5,11,2
345331,1,1,3
345331,1,2,264
345331,1,3,595
345331,1,4,504
345331,1,5,34
345331,1,6,520
345331,1,7,8
345331,2,1,347
345331,2,2,651
345331,2,3,203
345331,2,4,110
345331,2,5,82
345331,2,6,59
345331,2,7,24
345331,2,9,2
345331,2,10,1
345331,2,11,2
345331,2,12,1
345331,3,1,97
345331,3,2,67
345331,3,3,30
345331,3,4,36
345331,3,5,33
345331,3,6,31
345331,3,7,2
345331,3,9,3
345331,5,1,84
345331,5,2,111
345331,5,3,175
345331,5,4,165
345331,5,5,79
345331,5,6,64
345331,5,7,10
345331,6,1,28
345331,6,2,17
345331,6,3,2
345331,6,4,4
345331,6,5,6
345331,6,7,1
345536,1,3,5
345536,1,4,6
345536,1,5,9
345536,1,6,5
345536,2,1,165
345536,2,2,191
345536,2,3,187
345536,2,4,226
345536,2,5,196
345536,2,6,111
345536,2,7,59
345536,2,8,58
345536,2,9,92
345536,2,10,147
345536,2,11,115
345536,2,12,16
345536,3,1,10
345536,3,2,32
345536,3,3,27
345536,3,4,51
345536,3,5,64
345536,3,6,38
345536,3,7,14
345536,3,8,10
345536,3,9,33
345536,3,10,25
345536,3,11,9
345536,3,12,4
345536,4,2,1
345536,4,3,1
345536,4,5,3
345536,4,6,1
345536,4,10,1
345536,5,1,20
345536,5,2,21
345536,5,3,11
345536,5,4,29
345536,5,5,23
345536,5,6,14
345536,5,7,4
345536,5,8,5
345536,5,9,13
345536,5,10,10
345536,5,11,1
345560,1,1,7
345560,1,2,173
345560,1,3,596
345560,1,4,453
345560,1,5,35
345560,1,6,470
345560,1,7,28
345560,2,1,586
345560,2,2,580
345560,2,3,235
345560,2,4,149
345560,2,5,112
345560,2,6,107
345560,2,7,6
345560,2,8,5
345560,2,9,5
345560,3,1,155
345560,3,2,32
345560,3,3,68
345560,3,4,106
345560,3,5,196
345560,3,6,96
345560,3,7,4
345560,3,8,5
345560,3,9,3
345560,5,1,60
345560,5,2,72
345560,5,3,69
345560,5,4,65
345560,5,5,39
345560,5,6,16
345560,5,7,3
345560,5,8,1
345560,5,9,1
346105,1,1,1
346105,1,2,229
346105,1,3,870
346105,1,4,878
346105,1,5,172
346105,1,6,479
346105,1,7,26
346105,1,8,1
346105,2,1,231
346105,2,2,1035
346105,2,3,344
346105,2,4,266
346105,2,5,153
346105,2,6,88
346105,2,7,55
346105,2,8,267
346105,2,9,194
346105,2,10,43
346105,2,11,2
346105,3,1,44
346105,3,2,42
346105,3,3,26
346105,3,4,68
346105,3,5,70
346105,3,6,49
346105,3,7,16
346105,3,8,256
346105,3,9,67
346105,3,10,19
346105,3,11,2
346105,4,4,2
346105,4,5,8
346105,4,6,5
346105,4,8,26
346105,4,9,63
346105,4,10,3
346105,5,1,66
346105,5,2,111
346105,5,3,201
346105,5,4,177
346105,5,5,67
346105,5,6,45
346105,5,7,13
346105,5,8,140
346105,5,9,123
346105,5,10,16
346105,6,1,1
346109,2,1,581
346109,2,2,564
346109,2,3,478
346109,2,4,395
346109,2,5,301
346109,2,6,53
346109,2,8,42
346109,2,9,31
346109,2,10,38
346109,2,11,4
346109,3,1,168
346109,3,2,114
346109,3,3,114
346109,3,4,112
346109,3,5,87
346109,3,6,18
346109,3,8,4
346109,3,9,4
346109,3,10,1
346109,4,2,4
346109,4,3,3
346109,4,4,5
346109,4,5,5
346109,4,11,1
346109,5,1,171
346109,5,2,190
346109,5,3,100
346109,5,4,63
346109,5,5,44
346109,5,6,2
346109,5,8,3
346109,5,11,1
346109,6,3,1
346109,6,4,1
346109,6,5,1
346330,1,1,2
346330,1,2,51
346330,1,3,159
346330,1,4,46
346330,1,5,9
346330,1,6,5
346330,2,1,129
346330,2,2,641
346330,2,3,691
346330,2,4,684
346330,2,5,703
346330,2,6,452
346330,2,7,232
346330,2,8,196
346330,2,9,759
346330,2,10,292
346330,2,11,46
346330,2,12,46
346330,3,1,5
346330,3,2,16
346330,3,3,48
346330,3,4,58
346330,3,5,86
346330,3,6,54
346330,3,7,28
346330,3,8,12
346330,3,9,43
346330,3,10,24
346330,3,11,5
346330,3,12,1
346330,4,9,1
346330,5,1,17
346330,5,2,31
346330,5,3,60
346330,5,4,136
346330,5,5,54
346330,5,6,31
346330,5,7,15
346330,5,8,6
346330,5,9,35
346330,5,10,17
346330,5,11,1
346330,6,1,3
346330,6,2,2
346330,6,3,1
346330,6,5,1
346330,6,6,2
346330,6,9,2
346330,6,11,1
346346,1,3,151
346346,1,4,279
346346,1,5,3
346346,1,6,8
346346,1,9,1
346346,2,2,24
346346,2,3,64
346346,2,4,263
346346,2,5,124
346346,2,6,62
346346,2,7,196
346346,2,8,814
346346,2,9,785
346346,2,10,328
346346,2,11,699
346346,2,12,338
346346,3,2,2
346346,3,3,11
346346,3,4,51
346346,3,5,36
346346,3,6,6
346346,3,7,43
346346,3,8,200
346346,3,9,115
346346,3,10,39
346346,3,11,40
346346,3,12,35
346346,4,3,4
346346,4,4,66
346346,4,5,25
346346,4,6,6
346346,4,7,32
346346,4,8,236
346346,4,9,99
346346,4,10,16
346346,4,11,14
346346,4,12,6
346346,5,2,2
346346,5,3,45
346346,5,4,213
346346,5,5,96
346346,5,6,25
346346,5,7,71
346346,5,8,393
346346,5,9,181
346346,5,10,57
346346,5,11,70
346346,5,12,55
346381,1,2,4
346381,1,3,14
346381,2,2,128
346381,2,3,173
346381,2,4,143
346381,2,5,299
346381,2,6,304
346381,2,7,537
346381,2,8,758
346381,2,9,444
346381,2,10,142
346381,2,11,277
346381,2,12,107
346381,3,2,2
346381,3,3,11
346381,3,4,3
346381,3,5,21
346381,3,6,19
346381,3,7,67
346381,3,8,84
346381,3,9,25
346381,3,10,21
346381,3,11,19
346381,3,12,7
346381,4,2,6
346381,4,3,28
346381,4,4,24
346381,4,5,11
346381,4,6,4
346381,4,7,34
346381,4,8,85
346381,4,9,49
346381,4,10,19
346381,4,11,37
346381,4,12,11
346381,5,2,41
346381,5,3,67
346381,5,4,52
346381,5,5,55
346381,5,6,39
346381,5,7,129
346381,5,8,264
346381,5,9,140
346381,5,10,44
346381,5,11,81
346381,5,12,39
346381,6,2,7
346381,6,3,8
346381,6,4,2
346381,6,7,2
346381,6,8,1
346409,1,3,43
346409,1,4,1
346409,1,6,1
346409,2,1,377
346409,2,2,399
346409,2,3,391
346409,2,4,406
346409,2,5,302
346409,2,6,86
346409,2,7,9
346409,2,8,3
346409,3,1,77
346409,3,2,81
346409,3,3,116
346409,3,4,119
346409,3,5,110
346409,3,6,33
346409,3,7,2
346409,4,2,2
346409,4,3,9
346409,4,4,7
346409,4,5,11
346409,4,6,2
346409,4,7,2
346409,5,1,188
346409,5,2,249
346409,5,3,150
346409,5,4,197
346409,5,5,148
346409,5,6,30
346409,5,7,5
346409,5,8,1
347489,1,1,21
347489,1,2,471
347489,1,3,832
347489,1,4,877
347489,1,5,148
347489,1,6,507
347489,1,7,23
347489,2,1,814
347489,2,2,1323
347489,2,3,624
347489,2,4,627
347489,2,5,388
347489,2,6,373
347489,2,7,200
347489,2,8,47
347489,2,9,43
347489,2,10,14
347489,2,11,10
347489,2,12,2
347489,3,1,31
347489,3,2,15
347489,3,3,25
347489,3,4,30
347489,3,5,43
347489,3,6,44
347489,3,7,19
347489,3,8,15
347489,3,9,5
347489,3,10,1
347489,3,12,1
347489,4,3,13
347489,4,4,9
347489,4,5,6
347489,4,6,3
347489,4,8,3
347489,5,1,51
347489,5,2,62
347489,5,3,140
347489,5,4,130
347489,5,5,55
347489,5,6,40
347489,5,7,7
347489,5,8,3
347489,5,9,3
347593,1,1,11
347593,1,2,209
347593,1,3,451
347593,1,4,441
347593,1,5,191
347593,1,6,408
347593,1,7,14
347593,2,1,320
347593,2,2,555
347593,2,3,365
347593,2,4,327
347593,2,5,251
347593,2,6,224
347593,2,7,34
347593,2,8,46
347593,2,9,37
347593,2,10,6
347593,2,11,5
347593,2,12,1
347593,3,1,43
347593,3,2,18
347593,3,3,36
347593,3,4,59
347593,3,5,76
347593,3,6,81
347593,3,7,13
347593,3,8,2
347593,3,9,3
347593,3,12,2
347593,4,5,3
347593,4,6,4
347593,4,7,3
347593,4,9,6
347593,4,11,2
347593,4,12,5
347593,5,1,12
347593,5,2,41
347593,5,3,42
347593,5,4,60
347593,5,5,66
347593,5,6,36
347593,5,7,13
347593,5,8,12
347593,5,9,11
347593,5,10,4
347593,5,11,2
347593,5,12,6
347674,1,1,74
347674,1,2,251
347674,1,3,478
347674,1,4,391
347674,1,5,84
347674,1,6,227
347674,1,7,16
347674,2,1,709
347674,2,2,582
347674,2,3,133
347674,2,4,81
347674,2,5,87
347674,2,6,48
347674,2,7,16
347674,2,9,3
347674,2,10,1
347674,3,1,60
347674,3,2,41
347674,3,3,19
347674,3,4,17
347674,3,5,35
347674,3,6,22
347674,3,7,2
347674,3,8,10
347674,3,9,3
347674,5,1,39
347674,5,2,62
347674,5,3,103
347674,5,4,79
347674,5,5,30
347674,5,6,16
347674,5,7,2
347674,5,9,2
347687,1,3,2
347687,1,5,18
347687,1,6,2
347687,2,1,968
347687,2,2,1021
347687,2,3,832
347687,2,4,859
347687,2,5,371
347687,2,6,104
347687,2,7,105
347687,2,8,574
347687,2,9,347
347687,2,10,103
347687,2,11,33
347687,2,12,3
347687,3,1,54
347687,3,2,140
347687,3,3,169
347687,3,4,218
347687,3,5,183
347687,3,6,53
347687,3,7,35
347687,3,8,109
347687,3,9,64
347687,3,10,12
347687,3,12,1
347687,5,1,41
347687,5,2,56
347687,5,3,70
347687,5,4,77
347687,5,5,71
347687,5,6,34
347687,5,7,18
347687,5,8,47
347687,5,9,27
347687,5,10,7
347687,5,11,4
348520,2,1,431
348520,2,2,445
348520,2,3,470
348520,2,4,479
348520,2,5,248
348520,2,6,49
348520,3,1,17
348520,3,2,55
348520,3,3,36
348520,3,4,19
348520,3,5,30
348520,3,6,7
348520,4,4,1
348520,4,5,2
348520,5,1,74
348520,5,2,61
348520,5,3,34
348520,5,4,24
348520,5,5,33
348520,5,6,8
348566,2,1,543
348566,2,2,525
348566,2,3,389
348566,2,4,388
348566,2,5,289
348566,2,6,57
348566,2,7,10
348566,2,8,74
348566,2,9,74
348566,2,10,70
348566,2,11,46
348566,2,12,12
348566,3,1,99
348566,3,2,86
348566,3,3,82
348566,3,4,91
348566,3,5,60
348566,3,6,13
348566,3,7,3
348566,3,8,18
348566,3,9,6
348566,3,10,2
348566,4,2,3
348566,4,3,5
348566,4,4,1
348566,4,5,3
348566,4,8,2
348566,4,9,2
348566,5,1,126
348566,5,2,111
348566,5,3,49
348566,5,4,47
348566,5,5,40
348566,5,6,2
348566,5,8,12
348566,5,9,1
348566,5,10,7
348566,5,12,1
348566,6,2,2
348566,6,9,1
349481,1,2,1
349481,1,3,12
349481,1,4,73
349481,1,5,5
349481,2,2,18
349481,2,3,101
349481,2,4,513
349481,2,5,210
349481,2,6,59
349481,2,7,258
349481,2,8,976
349481,2,9,756
349481,2,10,247
349481,2,11,443
349481,2,12,174
349481,3,3,7
349481,3,4,71
349481,3,5,48
349481,3,6,7
349481,3,7,38
349481,3,8,170
349481,3,9,103
349481,3,10,14
349481,3,11,22
349481,3,12,10
349481,4,3,7
349481,4,4,27
349481,4,5,25
349481,4,6,1
349481,4,7,21
349481,4,8,167
349481,4,9,118
349481,4,10,21
349481,4,11,23
349481,4,12,1
349481,5,3,33
349481,5,4,174
349481,5,5,76
349481,5,6,11
349481,5,7,54
349481,5,8,338
349481,5,9,218
349481,5,10,55
349481,5,11,54
349481,5,12,14
349538,1,2,5
349538,1,4,34
349538,1,5,25
349538,1,6,32
349538,1,7,2
349538,2,2,260
349538,2,3,230
349538,2,4,416
349538,2,5,673
349538,2,6,698
349538,2,7,347
349538,2,8,132
349538,2,9,115
349538,2,10,102
349538,2,11,2
349538,2,12,86
349538,3,2,6
349538,3,3,6
349538,3,4,17
349538,3,5,50
349538,3,6,38
349538,3,7,21
349538,3,8,10
349538,3,9,7
349538,3,10,4
349538,3,12,1
349538,4,2,1
349538,4,4,11
349538,4,5,49
349538,4,6,54
349538,4,7,37
349538,4,8,12
349538,4,9,18
349538,4,10,8
349538,4,12,3
349538,5,2,25
349538,5,3,79
349538,5,4,115
349538,5,5,222
349538,5,6,198
349538,5,7,98
349538,5,8,52
349538,5,9,40
349538,5,10,14
349538,5,11,6
349538,5,12,12
349570,1,1,159
349570,1,2,538
349570,1,3,1101
349570,1,4,790
349570,1,5,117
