summons_number,issue_date,violation_code,violation_category,issuer_code,time_format,time_number,house_number,street_name,geo_address
7097810956,8/19/2013,14,2,349570,7:11,0.299305556,505,Columbus Ave,"505 Columbus Ave New York, NY"
7097810907,8/19/2013,40,2,349570,5:41,0.236805556,157,W 111th St,"157 W 111th St New York, NY"
7097810920,8/19/2013,17,2,349570,6:38,0.276388889,1060,Amsterdam Ave,"1060 Amsterdam Ave New York, NY"
7097810932,8/19/2013,19,2,349570,6:43,0.279861111,2831,Broadway,"2831 Broadway New York, NY"
7097810968,8/19/2013,21,1,349570,7:36,0.316666667,2578,Broadway,"2578 Broadway New York, NY"
7097810981,8/19/2013,21,1,349570,7:43,0.321527778,2880,Broadway,"2880 Broadway New York, NY"
7097811006,8/19/2013,20,2,349570,8:37,0.359027778,521,W 159th St,"521 W 159th St New York, NY"
7097811020,8/19/2013,21,1,349570,8:42,0.3625,564,W 160th St,"564 W 160th St New York, NY"
7097811031,8/19/2013,21,1,349570,8:43,0.363194444,564,W 160th St,"564 W 160th St New York, NY"
7097811079,8/19/2013,21,1,349570,8:48,0.366666667,539,W 160th St,"539 W 160th St New York, NY"
7097811110,8/19/2013,21,1,349570,8:53,0.370138889,511,W 160th St,"511 W 160th St New York, NY"
7097811122,8/19/2013,21,1,349570,9:07,0.379861111,423,W 154th St,"423 W 154th St New York, NY"
7097811171,8/19/2013,21,1,349570,9:17,0.386805556,425,Convent Ave,"425 Convent Ave New York, NY"
7097811201,8/19/2013,21,1,349570,9:26,0.393055556,371,Convent Ave,"371 Convent Ave New York, NY"
7097811213,8/19/2013,21,1,349570,9:36,0.4,101,W 131st St,"101 W 131st St New York, NY"
7097811237,8/19/2013,21,1,349570,9:42,0.404166667,158,W 130th St,"158 W 130th St New York, NY"
7097811250,8/19/2013,21,1,349570,9:45,0.40625,123,W 130th St,"123 W 130th St New York, NY"
7097811262,8/19/2013,21,1,349570,9:48,0.408333333,67,W 130th St,"67 W 130th St New York, NY"
7097811286,8/19/2013,21,1,349570,11:10,0.465277778,600,W 142nd St,"600 W 142nd St New York, NY"
7097811298,8/19/2013,21,1,349570,11:12,0.466666667,547,W 142nd St,"547 W 142nd St New York, NY"
7097811304,8/19/2013,21,1,349570,11:13,0.467361111,545,W 142nd St,"545 W 142nd St New York, NY"
7097811341,8/19/2013,21,1,349570,11:24,0.475,609,W 137th St,"609 W 137th St New York, NY"
7097811353,8/19/2013,21,1,349570,11:25,0.475694444,606,W 137th St,"606 W 137th St New York, NY"
7097811389,8/19/2013,21,1,349570,11:41,0.486805556,161,W 140th St,"161 W 140th St New York, NY"
7097811419,8/19/2013,21,1,349570,11:48,0.491666667,219,W 138th St,"219 W 138th St New York, NY"
7097811432,8/19/2013,21,1,349570,11:50,0.493055556,203,W 138th St,"203 W 138th St New York, NY"
7097811444,8/19/2013,21,1,349570,11:55,0.496527778,273,W 136th St,"273 W 136th St New York, NY"
7097811468,8/19/2013,21,1,349570,11:57,0.497916667,237,W 136th St,"237 W 136th St New York, NY"
7097811481,8/19/2013,21,1,349570,12:00,0.5,167,W 136th St,"167 W 136th St New York, NY"
7097811500,8/19/2013,16,2,349570,12:57,0.539583333,2051,2nd Ave,"2051 2nd Ave New York, NY"
7097811511,8/19/2013,46,3,349570,13:00,0.541666667,250,E 105th St,"250 E 105th St New York, NY"
7097811523,8/19/2013,46,3,349570,13:04,0.544444444,315,E 102nd St,"315 E 102nd St New York, NY"
7097811547,8/19/2013,19,2,349570,14:25,0.600694444,1448,1st Ave,"1448 1st Ave New York, NY"
7097811559,8/19/2013,18,2,349570,14:28,0.602777778,1504,1st Ave,"1504 1st Ave New York, NY"
7097811584,8/19/2013,48,3,349570,14:46,0.615277778,2281,1st Ave,"2281 1st Ave New York, NY"
7097811596,8/19/2013,18,2,349570,15:09,0.63125,2351,2nd Ave,"2351 2nd Ave New York, NY"
7097811614,8/19/2013,48,3,349570,15:29,0.645138889,2159,1st Ave,"2159 1st Ave New York, NY"
7097811626,8/19/2013,18,2,349570,15:50,0.659722222,2049,2nd Ave,"2049 2nd Ave New York, NY"
7097811638,8/19/2013,18,2,349570,17:08,0.713888889,2295,2nd Ave,"2295 2nd Ave New York, NY"
7097811640,8/19/2013,14,2,349570,17:24,0.725,2080,1st Ave,"2080 1st Ave New York, NY"
7097811663,8/19/2013,19,2,349570,17:46,0.740277778,1575,2nd Ave,"1575 2nd Ave New York, NY"
7097810919,8/19/2013,20,2,349570,5:44,0.238888889,301,W 111th St,"301 W 111th St New York, NY"
7097810944,8/19/2013,14,2,349570,7:09,0.297916667,510,Columbus Ave,"510 Columbus Ave New York, NY"
7097810970,8/19/2013,21,1,349570,7:38,0.318055556,2616,Broadway,"2616 Broadway New York, NY"
7097810993,8/19/2013,20,2,349570,8:35,0.357638889,515,W 159th St,"515 W 159th St New York, NY"
7097811018,8/19/2013,21,1,349570,8:41,0.361805556,564,W 160th St,"564 W 160th St New York, NY"
7097811043,8/19/2013,21,1,349570,8:45,0.364583333,535,W 160th St,"535 W 160th St New York, NY"
7097811055,8/19/2013,21,1,349570,8:46,0.365277778,535,W 160th St,"535 W 160th St New York, NY"
7097811067,8/19/2013,71,5,349570,8:46,0.365277778,535,W 160th St,"535 W 160th St New York, NY"
7097811080,8/19/2013,21,1,349570,8:49,0.367361111,551,W 160th St,"551 W 160th St New York, NY"
7097811092,8/19/2013,71,5,349570,8:50,0.368055556,551,W 160th St,"551 W 160th St New York, NY"
7097811109,8/19/2013,21,1,349570,8:52,0.369444444,515-517,W 160th St,"515-517 W 160th St New York, NY"
7097811134,8/19/2013,21,1,349570,9:08,0.380555556,427,W 154th St,"427 W 154th St New York, NY"
7097811146,8/19/2013,21,1,349570,9:08,0.380555556,429,W 154th St,"429 W 154th St New York, NY"
7097811158,8/19/2013,21,1,349570,9:10,0.381944444,434,W 154th St,"434 W 154th St New York, NY"
7097811160,8/19/2013,21,1,349570,9:15,0.385416667,871,W 154th St,"871 W 154th St New York, NY"
7097811183,8/19/2013,21,1,349570,9:19,0.388194444,400,Convent Ave,"400 Convent Ave New York, NY"
7097811195,8/19/2013,21,1,349570,9:22,0.390277778,471,W 147th St,"471 W 147th St New York, NY"
7097811225,8/19/2013,21,1,349570,9:38,0.401388889,113,W 131st St,"113 W 131st St New York, NY"
7097811249,8/19/2013,21,1,349570,9:43,0.404861111,129,W 130th St,"129 W 130th St New York, NY"
7097811274,8/19/2013,21,1,349570,11:06,0.4625,503-05,W 141st St,"503-05 W 141st St New York, NY"
7097811328,8/19/2013,21,1,349570,11:17,0.470138889,507,W 140th St,"507 W 140th St New York, NY"
7097811330,8/19/2013,21,1,349570,11:21,0.472916667,603,W 139th St,"603 W 139th St New York, NY"
7097811390,8/19/2013,21,1,349570,11:42,0.4875,133,W 140th St,"133 W 140th St New York, NY"
7097811407,8/19/2013,21,1,349570,11:43,0.488194444,108,W 139th St,"108 W 139th St New York, NY"
7097811420,8/19/2013,21,1,349570,11:49,0.492361111,203,W 138th St,"203 W 138th St New York, NY"
7097811456,8/19/2013,21,1,349570,11:56,0.497222222,268,W 136th St,"268 W 136th St New York, NY"
7097811470,8/19/2013,21,1,349570,11:58,0.498611111,297,W 136th St,"297 W 136th St New York, NY"
7097811493,8/19/2013,21,1,349570,12:01,0.500694444,149,W 136th St,"149 W 136th St New York, NY"
7097811535,8/19/2013,19,2,349570,13:27,0.560416667,256,E 125th St,"256 E 125th St New York, NY"
7097811560,8/19/2013,18,2,349570,14:36,0.608333333,1948,1st Ave,"1948 1st Ave New York, NY"
7097811572,8/19/2013,46,3,349570,14:39,0.610416667,2025,1st Ave,"2025 1st Ave New York, NY"
7097811602,8/19/2013,46,3,349570,15:14,0.634722222,2056,2nd Ave,"2056 2nd Ave New York, NY"
